t_s,v_kmh,grade_pct,P_wheel_kW,fuel_g_per_s,SOC
4800.0000,84.4879,-3.5278,-8.5677,4.7906,0.3971
4800.1000,84.4857,-3.5298,-7.9485,4.7906,0.3973
4800.2000,84.4853,-3.5316,-7.4593,4.7906,0.3975
4800.3000,84.4854,-3.5335,-7.2302,4.7906,0.3977
4800.4000,84.4861,-3.5353,-7.4921,4.7906,0.3979
4800.5000,84.4852,-3.5371,-7.8741,4.7906,0.3981
4800.6000,84.4843,-3.5388,-7.7861,4.7906,0.3983
4800.7000,84.4839,-3.5405,-7.3677,4.7906,0.3985
4800.8000,84.4850,-3.5421,-6.5064,4.7906,0.3987
4800.9000,84.4886,-3.5437,-4.5714,4.7906,0.3989
4801.0000,84.4985,-3.5453,-2.1217,4.7906,0.3991
4801.1000,84.5130,-3.5468,-0.0983,4.7906,0.3993
4801.2000,84.5320,-3.5483,2.0376,4.7906,0.3995
4801.3000,84.5561,-3.5497,3.5376,4.7906,0.3997
4801.4000,84.5818,-3.5511,3.6937,4.7906,0.3998
4801.5000,84.6067,-3.5525,3.0045,4.7906,0.4000
4801.6000,84.6292,-3.5538,2.5059,4.7906,0.4002
4801.7000,84.6519,-3.5550,2.3406,4.7906,0.4004
4801.8000,84.6737,-3.5563,2.2285,4.7906,0.4006
4801.9000,84.6959,-3.5575,2.2806,4.7906,0.4007
4802.0000,84.7180,-3.5586,2.4370,4.7906,0.4009
4802.1000,84.7408,-3.5597,1.9060,4.7906,0.4011
4802.2000,84.7605,-3.5608,0.6710,4.7906,0.4013
4802.3000,84.7778,-3.5618,-0.9924,4.7906,0.4015
4802.4000,84.7901,-3.5628,-2.9535,4.7906,0.4017
4802.5000,84.7988,-3.5637,-4.8451,4.7906,0.4019
4802.6000,84.8027,-3.5646,-6.7103,4.7906,0.4021
4802.7000,84.8031,-3.5655,-8.7616,4.7906,0.4023
4802.8000,84.7979,-3.5663,-11.2475,4.7906,0.4025
4802.9000,84.7873,-3.5671,-13.6777,4.7906,0.4027
4803.0000,84.7714,-3.5678,-16.0546,4.7906,0.4029
4803.1000,84.7503,-3.5685,-18.1827,4.7906,0.4032
4803.2000,84.7250,-3.5692,-20.3336,4.7906,0.4034
4803.3000,84.6944,-3.5698,-21.8525,4.7906,0.4036
4803.4000,84.6625,-3.5704,-22.4108,4.7906,0.4039
4803.5000,84.6295,-3.5709,-22.4839,4.7906,0.4041
4803.6000,84.5973,-3.5714,-22.3074,4.7906,0.4043
4803.7000,84.5653,-3.5718,-21.5599,4.7906,0.4046
4803.8000,84.5365,-3.5723,-19.8926,4.7906,0.4048
4803.9000,84.5120,-3.5726,-18.0457,4.7906,0.4050
4804.0000,84.4916,-3.5730,-16.1658,4.7906,0.4053
4804.1000,84.4756,-3.5733,-14.2393,4.7906,0.4055
4804.2000,84.4639,-3.5735,-12.6814,4.7906,0.4057
4804.3000,84.4548,-3.5738,-11.5850,4.7906,0.4059
4804.4000,84.4481,-3.5739,-10.8824,4.7906,0.4061
4804.5000,84.4422,-3.5741,-10.7003,4.7906,0.4063
4804.6000,84.4363,-3.5742,-10.8110,4.7906,0.4066
4804.7000,84.4299,-3.5743,-10.8226,4.7906,0.4068
4804.8000,84.4240,-3.5743,-10.7887,4.7906,0.4070
4804.9000,84.4178,-3.5743,-10.2974,4.7906,0.4072
4805.0000,84.4141,-3.5742,-9.1074,4.7906,0.4074
4805.1000,84.4132,-3.5742,-7.5784,4.7906,0.4076
4805.2000,84.4163,-3.5740,-6.2050,4.7906,0.4078
4805.3000,84.4216,-3.5739,-5.3451,4.7906,0.4080
4805.4000,84.4286,-3.5737,-5.6484,4.7906,0.4082
4805.5000,84.4324,-3.5734,-7.0266,4.7906,0.4084
4805.6000,84.4332,-3.5732,-8.4826,4.7906,0.4086
4805.7000,84.4305,-3.5729,-9.5351,4.7906,0.4088
4805.8000,84.4265,-3.5725,-10.3404,4.7906,0.4090
4805.9000,84.4203,-3.5721,-10.6883,4.7906,0.4092
4806.0000,84.4147,-3.5717,-10.2500,4.7906,0.4094
4806.1000,84.4104,-3.5713,-9.7515,4.7906,0.4097
4806.2000,84.4071,-3.5708,-9.3268,4.7906,0.4099
4806.3000,84.4047,-3.5703,-8.7588,4.7906,0.4101
4806.4000,84.4038,-3.5697,-8.3214,4.7906,0.4103
4806.5000,84.4033,-3.5691,-8.6599,4.7906,0.4105
4806.6000,84.4009,-3.5685,-9.9444,4.7906,0.4107
4806.7000,84.3947,-3.5678,-11.6554,4.7906,0.4109
4806.8000,84.3846,-3.5671,-12.9102,4.7906,0.4111
4806.9000,84.3727,-3.5663,-13.7404,4.7906,0.4113
4807.0000,84.3589,-3.5656,-14.0938,4.7906,0.4116
4807.1000,84.3454,-3.5648,-13.8796,4.7906,0.4118
4807.2000,84.3325,-3.5639,-13.3820,4.7906,0.4120
4807.3000,84.3212,-3.5630,-13.1554,4.7906,0.4122
4807.4000,84.3093,-3.5621,-13.2761,4.7906,0.4124
4807.5000,84.2974,-3.5612,-13.8476,4.7906,0.4127
4807.6000,84.2830,-3.5602,-14.8655,4.7906,0.4129
4807.7000,84.2665,-3.5592,-15.4717,4.7906,0.4131
4807.8000,84.2493,-3.5581,-15.3410,4.7906,0.4133
4807.9000,84.2334,-3.5570,-14.5678,4.7906,0.4135
4808.0000,84.2196,-3.5559,-13.5138,4.7906,0.4138
4808.1000,84.2084,-3.5548,-12.6020,4.7906,0.4140
4808.2000,84.1986,-3.5536,-12.8298,4.7906,0.4142
4808.3000,84.1863,-3.5524,-14.3703,4.7906,0.4144
4808.4000,84.1696,-3.5511,-16.3355,4.7906,0.4146
4808.5000,84.1485,-3.5498,-17.7911,4.7906,0.4149
4808.6000,84.1252,-3.5485,-18.0205,4.7906,0.4151
4808.7000,84.1030,-3.5472,-17.4029,4.7906,0.4153
4808.8000,84.0825,-3.5458,-16.3252,4.7906,0.4155
4808.9000,84.0651,-3.5444,-14.7450,4.7906,0.4158
4809.0000,84.0516,-3.5430,-13.0562,4.7906,0.4160
4809.1000,84.0417,-3.5415,-11.9451,4.7906,0.4162
4809.2000,84.0332,-3.5400,-11.2293,4.7906,0.4164
4809.3000,84.0264,-3.5384,-10.6401,4.7906,0.4166
4809.4000,84.0204,-3.5369,-10.3955,4.7906,0.4168
4809.5000,84.0147,-3.5353,-10.0287,4.7906,0.4170
