t_s,v_kmh,grade_pct,P_wheel_kW,fuel_g_per_s,SOC
6300.0000,47.4149,0.3395,15.0021,0.0000,0.5862
6300.1000,47.4094,0.3394,14.5600,0.0000,0.5861
6300.2000,47.4008,0.3394,13.8854,0.0000,0.5861
6300.3000,47.3900,0.3394,13.4662,0.0000,0.5860
6300.4000,47.3781,0.3393,13.4253,0.0000,0.5860
6300.5000,47.3670,0.3393,13.2190,0.0000,0.5859
6300.6000,47.3536,0.3392,12.7940,0.0000,0.5859
6300.7000,47.3392,0.3392,12.5006,0.0000,0.5859
6300.8000,47.3234,0.3391,11.9240,0.0000,0.5858
6300.9000,47.3045,0.3391,11.0542,0.0000,0.5858
6301.0000,47.2819,0.3390,10.2870,0.0000,0.5858
6301.1000,47.2569,0.3390,9.6697,0.0000,0.5857
6301.2000,47.2295,0.3389,9.0506,0.0000,0.5857
6301.3000,47.1996,0.3389,8.7924,0.0000,0.5857
6301.4000,47.1702,0.3388,8.7228,0.0000,0.5856
6301.5000,47.1399,0.3387,8.6996,0.0000,0.5856
6301.6000,47.1105,0.3387,8.9200,0.0000,0.5856
6301.7000,47.0821,0.3386,9.2124,0.0000,0.5855
6301.8000,47.0550,0.3385,9.3860,0.0000,0.5855
6301.9000,47.0281,0.3384,9.6868,0.0000,0.5855
6302.0000,47.0036,0.3384,9.9840,0.0000,0.5854
6302.1000,46.9791,0.3383,9.9417,0.0000,0.5854
6302.2000,46.9544,0.3382,9.7141,0.0000,0.5854
6302.3000,46.9282,0.3381,9.3077,0.0000,0.5853
6302.4000,46.9003,0.3380,8.7315,0.0000,0.5853
6302.5000,46.8696,0.3380,8.3462,0.0000,0.5853
6302.6000,46.8386,0.3379,8.3847,0.0000,0.5852
6302.7000,46.8083,0.3378,8.6415,0.0000,0.5852
6302.8000,46.7796,0.3377,9.1321,0.0000,0.5852
6302.9000,46.7534,0.3376,9.8536,0.0000,0.5851
6303.0000,46.7306,0.3375,10.8572,0.0000,0.5851
6303.1000,46.7125,0.3374,11.9180,0.0000,0.5851
6303.2000,46.6984,0.3373,12.9045,0.0000,0.5850
6303.3000,46.6884,0.3372,14.1311,0.0000,0.5850
6303.4000,46.6842,0.3371,15.3023,0.0000,0.5849
6303.5000,46.6837,0.3369,16.1231,0.0000,0.5849
6303.6000,46.6861,0.3368,16.9995,0.0000,0.5848
6303.7000,46.6927,0.3367,18.0630,0.0000,0.5848
6303.8000,46.7038,0.3366,19.0765,0.0000,0.5847
6303.9000,46.7185,0.3365,19.9014,0.0000,0.5846
6304.0000,46.7361,0.3364,20.6577,0.0000,0.5846
6304.1000,46.7569,0.3362,21.6271,0.0000,0.5845
6304.2000,46.7822,0.3361,22.8113,0.0000,0.5844
6304.3000,46.8124,0.3360,24.1086,0.0000,0.5844
6304.4000,46.8481,0.3358,25.4259,0.0000,0.5843
6304.5000,46.8887,0.3357,26.2328,0.0000,0.5842
6304.6000,46.9306,0.3356,26.1054,0.0000,0.5841
6304.7000,46.9699,0.3354,25.4015,0.0000,0.5841
6304.8000,47.0059,0.3353,24.3145,0.0000,0.5840
6304.9000,47.0363,0.3351,23.1309,0.0000,0.5839
6305.0000,47.0626,0.3350,22.2163,0.0000,0.5838
6305.1000,47.0855,0.3348,21.6052,0.0000,0.5838
6305.2000,47.1068,0.3347,21.1939,0.0000,0.5837
6305.3000,47.1263,0.3345,20.7749,0.0000,0.5836
6305.4000,47.1441,0.3343,20.1218,0.0000,0.5836
6305.5000,47.1583,0.3342,19.2497,0.0000,0.5835
6305.6000,47.1691,0.3340,18.6641,0.0000,0.5835
6305.7000,47.1785,0.3338,18.2595,0.0000,0.5834
6305.8000,47.1860,0.3337,17.8870,0.0000,0.5834
6305.9000,47.1925,0.3335,17.8436,0.0000,0.5833
6306.0000,47.1996,0.3333,17.8696,0.0000,0.5832
6306.1000,47.2062,0.3331,17.4909,0.0000,0.5832
6306.2000,47.2103,0.3329,17.1512,0.0000,0.5831
6306.3000,47.2142,0.3327,16.9500,0.0000,0.5831
6306.4000,47.2167,0.3326,16.6940,0.0000,0.5830
6306.5000,47.2186,0.3324,16.8538,0.0000,0.5830
6306.6000,47.2223,0.3322,17.2822,0.0000,0.5829
6306.7000,47.2276,0.3320,17.8332,0.0000,0.5829
6306.8000,47.2358,0.3318,18.4095,0.0000,0.5828
6306.9000,47.2456,0.3316,18.7063,0.0000,0.5827
6307.0000,47.2561,0.3314,18.6252,0.0000,0.5827
6307.1000,47.2653,0.3311,18.5739,0.0000,0.5826
6307.2000,47.2753,0.3309,18.4620,0.0000,0.5826
6307.3000,47.2835,0.3307,18.2550,0.0000,0.5825
6307.4000,47.2919,0.3305,18.2511,0.0000,0.5825
6307.5000,47.3001,0.3303,18.5963,0.0000,0.5824
6307.6000,47.3112,0.3300,19.1501,0.0000,0.5823
6307.7000,47.3238,0.3298,19.4080,0.0000,0.5823
6307.8000,47.3369,0.3296,19.5860,0.0000,0.5822
6307.9000,47.3508,0.3294,19.7609,0.0000,0.5822
6308.0000,47.3652,0.3291,19.6117,0.0000,0.5821
6308.1000,47.3779,0.3289,19.1310,0.0000,0.5820
6308.2000,47.3885,0.3286,18.5805,0.0000,0.5820
6308.3000,47.3967,0.3284,18.0272,0.0000,0.5819
6308.4000,47.4029,0.3281,17.5022,0.0000,0.5819
6308.5000,47.4069,0.3279,16.8406,0.0000,0.5818
6308.6000,47.4078,0.3276,16.0071,0.0000,0.5818
6308.7000,47.4052,0.3274,15.1747,0.0000,0.5817
6308.8000,47.3995,0.3271,14.5783,0.0000,0.5817
6308.9000,47.3922,0.3268,14.4538,0.0000,0.5816
6309.0000,47.3855,0.3266,14.7850,0.0000,0.5816
6309.1000,47.3809,0.3263,15.3067,0.0000,0.5815
6309.2000,47.3784,0.3260,15.7456,0.0000,0.5815
6309.3000,47.3774,0.3257,15.7065,0.0000,0.5814
6309.4000,47.3746,0.3255,15.4055,0.0000,0.5814
6309.5000,47.3711,0.3252,15.4083,0.0000,0.5813
6309.6000,47.3684,0.3249,15.6739,0.0000,0.5813
6309.7000,47.3671,0.3246,15.8723,0.0000,0.5812
6309.8000,47.3660,0.3243,16.0105,0.0000,0.5812
6309.9000,47.3659,0.3240,15.9676,0.0000,0.5811
6310.0000,47.3645,0.3237,15.5683,0.0000,0.5811
6310.1000,47.3611,0.3234,14.9800,0.0000,0.5810
6310.2000,47.3551,0.3231,14.6230,0.0000,0.5810
6310.3000,47.3489,0.3228,14.6762,0.0000,0.5809
6310.4000,47.3433,0.3225,14.6498,0.0000,0.5809
6310.5000,47.3370,0.3222,14.7957,0.0000,0.5808
6310.6000,47.3327,0.3218,15.1668,0.0000,0.5808
6310.7000,47.3294,0.3215,15.5644,0.0000,0.5807
6310.8000,47.3282,0.3212,16.0529,0.0000,0.5807
6310.9000,47.3288,0.3209,16.7686,0.0000,0.5806
6311.0000,47.3334,0.3205,17.5142,0.0000,0.5806
6311.1000,47.3400,0.3202,18.2489,0.0000,0.5805
6311.2000,47.3504,0.3199,19.1846,0.0000,0.5805
6311.3000,47.3644,0.3195,20.0669,0.0000,0.5804
6311.4000,47.3818,0.3192,20.6742,0.0000,0.5803
6311.5000,47.4006,0.3188,20.9860,0.0000,0.5803
6311.6000,47.4204,0.3185,21.1008,0.0000,0.5802
6311.7000,47.4400,0.3181,21.0492,0.0000,0.5801
6311.8000,47.4593,0.3178,20.8611,0.0000,0.5801
6311.9000,47.4773,0.3174,7.3307,0.0000,0.5800
6312.0000,47.3889,0.3170,-19.4586,0.0000,0.5801
6312.1000,47.1938,0.3167,-46.0612,0.0000,0.5802
6312.2000,46.8923,0.3163,-72.4118,0.0000,0.5803
6312.3000,46.4832,0.3159,-98.2128,0.0000,0.5805
6312.4000,45.9678,0.3156,-110.1893,0.0000,0.5807
6312.5000,45.4524,0.3152,-109.0725,0.0000,0.5808
6312.6000,44.9369,0.3148,-107.9517,0.0000,0.5810
6312.7000,44.4215,0.3145,-106.8269,0.0000,0.5811
6312.8000,43.9061,0.3141,-105.6982,0.0000,0.5813
6312.9000,43.3907,0.3137,-104.5657,0.0000,0.5815
6313.0000,42.8752,0.3134,-103.4293,0.0000,0.5816
6313.1000,42.3598,0.3130,-102.2892,0.0000,0.5818
6313.2000,41.8444,0.3127,-101.1454,0.0000,0.5820
6313.3000,41.3290,0.3123,-99.9979,0.0000,0.5821
6313.4000,40.8135,0.3119,-98.8467,0.0000,0.5823
6313.5000,40.2981,0.3116,-97.6919,0.0000,0.5824
6313.6000,39.7827,0.3112,-96.5336,0.0000,0.5826
6313.7000,39.2673,0.3109,-95.3718,0.0000,0.5828
6313.8000,38.7518,0.3105,-94.2065,0.0000,0.5829
6313.9000,38.2364,0.3102,-93.0378,0.0000,0.5831
6314.0000,37.7210,0.3099,-91.8658,0.0000,0.5832
6314.1000,37.2056,0.3095,-90.6904,0.0000,0.5834
6314.2000,36.6901,0.3092,-89.5117,0.0000,0.5836
6314.3000,36.1747,0.3088,-88.3298,0.0000,0.5837
6314.4000,35.6593,0.3085,-87.1447,0.0000,0.5839
6314.5000,35.1439,0.3082,-85.9564,0.0000,0.5840
6314.6000,34.6284,0.3079,-84.7651,0.0000,0.5842
6314.7000,34.1130,0.3075,-83.5707,0.0000,0.5844
6314.8000,33.5976,0.3072,-82.3732,0.0000,0.5845
6314.9000,33.0822,0.3069,-81.1728,0.0000,0.5847
