t_s,v_kmh,grade_pct,P_wheel_kW,fuel_g_per_s,SOC
2408.9000,88.7582,0.2125,63.5514,4.7906,0.3387
2409.0000,88.7767,0.2125,64.5068,4.7906,0.3387
2409.1000,88.7963,0.2125,65.4658,4.7906,0.3387
2409.2000,88.8187,0.2126,66.3032,4.7906,0.3388
2409.3000,88.8417,0.2127,66.2946,4.7906,0.3388
2409.4000,88.8640,0.2128,65.9425,4.7906,0.3388
2409.5000,88.8853,0.2130,65.8711,4.7906,0.3388
2409.6000,88.9071,0.2132,65.1450,4.7906,0.3388
2409.7000,88.9252,0.2134,63.8683,4.7906,0.3389
2409.8000,88.9414,0.2137,62.6191,4.7906,0.3389
2409.9000,88.9540,0.2140,61.1721,4.7906,0.3389
2410.0000,88.9640,0.2143,59.8752,4.7906,0.3389
2410.1000,88.9711,0.2146,58.6135,4.7906,0.3390
2410.2000,88.9756,0.2150,57.6623,4.7906,0.3390
2410.3000,88.9786,0.2155,57.0387,4.7906,0.3391
2410.4000,88.9805,0.2159,56.6273,4.7906,0.3391
2410.5000,88.9817,0.2164,56.3229,4.7906,0.3391
2410.6000,88.9822,0.2169,56.5170,4.7906,0.3392
2410.7000,88.9841,0.2175,56.5973,4.7906,0.3392
2410.8000,88.9850,0.2181,56.6617,4.7906,0.3393
2410.9000,88.9872,0.2187,57.1388,4.7906,0.3393
2411.0000,88.9900,0.2193,57.3626,4.7906,0.3393
2411.1000,88.9930,0.2200,57.3701,4.7906,0.3394
2411.2000,88.9958,0.2207,57.5033,4.7906,0.3394
2411.3000,88.9994,0.2214,57.4418,4.7906,0.3395
2411.4000,89.0018,0.2222,56.8680,4.7906,0.3395
2411.5000,89.0029,0.2230,56.6754,4.7906,0.3395
2411.6000,89.0044,0.2238,56.8059,4.7906,0.3396
2411.7000,89.0060,0.2247,56.9822,4.7906,0.3396
2411.8000,89.0082,0.2256,57.7147,4.7906,0.3397
2411.9000,89.0128,0.2265,59.4187,4.7906,0.3397
2412.0000,89.0222,0.2274,61.1914,4.7906,0.3397
2412.1000,89.0342,0.2284,62.2646,4.7906,0.3397
2412.2000,89.0480,0.2294,62.4990,4.7906,0.3398
2412.3000,89.0608,0.2305,62.3436,4.7906,0.3398
