# WS4-CONSTRUCTED PM generator efficiency map (shaft -> DC bus, incl. active rectifier) - NOT measured
# generator: GEN-V2 IPM 135, cont 135.0 kW shaft in, loss model c_h=0.5, c_e=0.7, k_cu=0.0612 kW/(100Nm)^2, pe0=0.15 kW + 1% of P_elec
# G1-R/R10 restatement: DC side on the pack-native window (662.4 V nominal, 432.0-748.8 V operating, 777.6 V 10-s transient), 1200 V-class SiC rectifier devices; loss coefficients carried unchanged at the new window [WS4-DECLARED, confirm at procurement]. Per R12 this genset-side rectifier/conditioning stage lives in WS4's ledger; no scalar PE member exists on the traction side.
rpm,p_shaft_kW,eta_shaft_to_bus
600,2.0,0.7918
600,3.8,0.8808
600,5.5,0.9112
600,7.3,0.9255
600,9.1,0.9332
600,10.9,0.9375
600,12.6,0.9398
600,14.4,0.9409
600,16.2,0.9411
600,18.0,0.9408
600,19.7,0.9400
600,21.5,0.9389
600,23.3,0.9376
600,25.0,0.9361
600,26.8,0.9344
600,28.6,0.9326
600,30.4,0.9306
600,32.1,0.9286
600,33.9,0.9265
600,35.7,0.9244
600,37.5,0.9222
600,39.2,0.9199
600,41.0,0.9176
600,42.8,0.9153
600,44.5,0.9130
600,46.3,0.9106
600,48.1,0.9082
600,49.9,0.9057
600,51.6,0.9033
600,53.4,0.9008
700,2.0,0.7649
700,4.1,0.8762
700,6.2,0.9108
700,8.2,0.9267
700,10.3,0.9353
700,12.4,0.9402
700,14.5,0.9430
700,16.6,0.9445
700,18.6,0.9452
700,20.7,0.9452
700,22.8,0.9448
700,24.9,0.9441
700,27.0,0.9432
700,29.0,0.9420
700,31.1,0.9407
700,33.2,0.9392
700,35.3,0.9377
700,37.4,0.9360
700,39.4,0.9343
700,41.5,0.9325
700,43.6,0.9307
700,45.7,0.9288
700,47.8,0.9269
700,49.8,0.9250
700,51.9,0.9230
700,54.0,0.9210
700,56.1,0.9189
700,58.1,0.9169
700,60.2,0.9148
700,62.3,0.9127
800,2.0,0.7357
800,4.4,0.8711
800,6.8,0.9096
800,9.2,0.9270
800,11.5,0.9364
800,13.9,0.9418
800,16.3,0.9450
800,18.7,0.9469
800,21.1,0.9479
800,23.5,0.9483
800,25.9,0.9482
800,28.3,0.9478
800,30.6,0.9472
800,33.0,0.9463
800,35.4,0.9453
800,37.8,0.9441
800,40.2,0.9428
800,42.6,0.9415
800,45.0,0.9400
800,47.3,0.9385
800,49.7,0.9370
800,52.1,0.9354
800,54.5,0.9338
800,56.9,0.9321
800,59.3,0.9304
800,61.7,0.9287
800,64.0,0.9269
800,66.4,0.9251
800,68.8,0.9233
800,71.2,0.9215
900,2.0,0.7041
900,4.7,0.8656
900,7.4,0.9080
900,10.1,0.9267
900,12.8,0.9368
900,15.5,0.9427
900,18.2,0.9464
900,20.9,0.9486
900,23.5,0.9499
900,26.2,0.9505
900,28.9,0.9507
900,31.6,0.9505
900,34.3,0.9501
900,37.0,0.9495
900,39.7,0.9487
900,42.4,0.9477
900,45.1,0.9467
900,47.8,0.9456
900,50.5,0.9444
900,53.2,0.9431
900,55.9,0.9418
900,58.6,0.9404
900,61.3,0.9390
900,63.9,0.9376
900,66.6,0.9361
900,69.3,0.9346
900,72.0,0.9331
900,74.7,0.9315
900,77.4,0.9299
900,80.1,0.9283
1000,2.0,0.6703
1000,5.0,0.8599
1000,8.0,0.9060
1000,11.0,0.9261
1000,14.0,0.9368
1000,17.0,0.9432
1000,20.0,0.9472
1000,23.0,0.9497
1000,26.0,0.9512
1000,29.0,0.9521
1000,32.0,0.9525
1000,35.0,0.9525
1000,38.0,0.9523
1000,41.0,0.9519
1000,44.0,0.9513
1000,47.0,0.9506
1000,50.0,0.9497
1000,53.0,0.9488
1000,56.0,0.9478
1000,59.0,0.9467
1000,62.0,0.9456
1000,65.0,0.9444
1000,68.0,0.9431
1000,71.0,0.9419
1000,74.0,0.9406
1000,77.0,0.9393
1000,80.0,0.9379
1000,83.0,0.9366
1000,86.0,0.9352
1000,89.0,0.9338
1100,2.0,0.6342
1100,5.3,0.8539
1100,8.6,0.9038
1100,11.9,0.9251
1100,15.2,0.9365
1100,18.5,0.9433
1100,21.8,0.9476
1100,25.2,0.9504
1100,28.5,0.9522
1100,31.8,0.9532
1100,35.1,0.9538
1100,38.4,0.9541
1100,41.7,0.9540
1100,45.0,0.9538
1100,48.3,0.9533
1100,51.6,0.9528
1100,54.9,0.9521
1100,58.2,0.9513
1100,61.5,0.9505
1100,64.8,0.9495
1100,68.1,0.9486
1100,71.5,0.9475
1100,74.8,0.9465
1100,78.1,0.9454
1100,81.4,0.9442
1100,84.7,0.9430
1100,88.0,0.9418
1100,91.3,0.9406
1100,94.6,0.9394
1100,97.9,0.9381
1200,2.0,0.5960
1200,5.6,0.8478
1200,9.2,0.9013
1200,12.8,0.9239
1200,16.5,0.9360
1200,20.1,0.9432
1200,23.7,0.9478
1200,27.3,0.9508
1200,30.9,0.9528
1200,34.5,0.9541
1200,38.1,0.9548
1200,41.8,0.9552
1200,45.4,0.9554
1200,49.0,0.9552
1200,52.6,0.9550
1200,56.2,0.9545
1200,59.8,0.9540
1200,63.4,0.9534
1200,67.1,0.9526
1200,70.7,0.9519
1200,74.3,0.9510
1200,77.9,0.9501
1200,81.5,0.9492
1200,85.1,0.9482
1200,88.7,0.9472
1200,92.4,0.9461
1200,96.0,0.9451
1200,99.6,0.9440
1200,103.2,0.9429
1200,106.8,0.9417
1300,2.0,0.5557
1300,5.9,0.8416
1300,9.8,0.8987
1300,13.8,0.9226
1300,17.7,0.9353
1300,21.6,0.9429
1300,25.5,0.9478
1300,29.4,0.9510
1300,33.4,0.9532
1300,37.3,0.9546
1300,41.2,0.9556
1300,45.1,0.9561
1300,49.1,0.9564
1300,53.0,0.9564
1300,56.9,0.9562
1300,60.8,0.9559
1300,64.7,0.9555
1300,68.7,0.9550
1300,72.6,0.9544
1300,76.5,0.9537
1300,80.4,0.9530
1300,84.3,0.9522
1300,88.3,0.9514
1300,92.2,0.9505
1300,96.1,0.9496
1300,100.0,0.9487
1300,104.0,0.9478
1300,107.9,0.9468
1300,111.8,0.9458
1300,115.7,0.9448
1400,2.0,0.5131
1400,6.2,0.8354
1400,10.5,0.8960
1400,14.7,0.9211
1400,18.9,0.9344
1400,23.1,0.9424
1400,27.4,0.9476
1400,31.6,0.9510
1400,35.8,0.9534
1400,40.1,0.9550
1400,44.3,0.9561
1400,48.5,0.9568
1400,52.7,0.9572
1400,57.0,0.9573
1400,61.2,0.9573
1400,65.4,0.9571
1400,69.7,0.9568
1400,73.9,0.9564
1400,78.1,0.9559
1400,82.3,0.9553
1400,86.6,0.9547
1400,90.8,0.9540
1400,95.0,0.9533
1400,99.2,0.9525
1400,103.5,0.9517
1400,107.7,0.9509
1400,111.9,0.9500
1400,116.2,0.9491
1400,120.4,0.9482
1400,124.6,0.9473
1500,2.0,0.4684
1500,6.5,0.8290
1500,11.1,0.8932
1500,15.6,0.9195
1500,20.1,0.9334
1500,24.7,0.9418
1500,29.2,0.9472
1500,33.7,0.9509
1500,38.3,0.9535
1500,42.8,0.9552
1500,47.4,0.9565
1500,51.9,0.9573
1500,56.4,0.9578
1500,61.0,0.9580
1500,65.5,0.9581
1500,70.0,0.9580
1500,74.6,0.9578
1500,79.1,0.9575
1500,83.6,0.9571
1500,88.2,0.9566
1500,92.7,0.9561
1500,97.2,0.9555
1500,101.8,0.9549
1500,106.3,0.9542
1500,110.8,0.9535
1500,115.4,0.9527
1500,119.9,0.9520
1500,124.4,0.9512
1500,129.0,0.9503
1500,133.5,0.9495
1600,2.0,0.4216
1600,6.8,0.8226
1600,11.7,0.8903
1600,16.5,0.9178
1600,21.4,0.9323
1600,26.2,0.9411
1600,31.1,0.9468
1600,35.9,0.9507
1600,40.7,0.9534
1600,45.6,0.9553
1600,50.4,0.9567
1600,55.3,0.9576
1600,60.1,0.9582
1600,64.9,0.9586
1600,69.8,0.9588
1600,74.6,0.9588
1600,79.5,0.9586
1600,84.3,0.9584
1600,89.2,0.9581
1600,94.0,0.9577
1600,98.8,0.9573
1600,103.7,0.9568
1600,108.5,0.9562
