# WS4-CONSTRUCTED PM generator efficiency map (shaft -> DC bus, incl. active rectifier) - NOT measured
# generator: GEN-V1 IPM 60, cont 60.0 kW shaft in, loss model c_h=0.3, c_e=0.4, k_cu=0.199 kW/(100Nm)^2, pe0=0.15 kW + 1% of P_elec
# G1-R/R10 restatement: DC side on the pack-native window (662.4 V nominal, 432.0-748.8 V operating, 777.6 V 10-s transient), 1200 V-class SiC rectifier devices; loss coefficients carried unchanged at the new window [WS4-DECLARED, confirm at procurement]. Per R12 this genset-side rectifier/conditioning stage lives in WS4's ledger; no scalar PE member exists on the traction side.
rpm,p_shaft_kW,eta_shaft_to_bus
1400,23.1,0.9421
1400,25.4,0.9424
1400,27.8,0.9423
1400,30.1,0.9419
1400,32.5,0.9413
1400,34.8,0.9404
1400,37.2,0.9394
1400,39.5,0.9382
1400,41.9,0.9369
1400,44.2,0.9356
1400,46.6,0.9341
1400,48.9,0.9326
1400,51.2,0.9310
1400,53.6,0.9294
1400,55.9,0.9278
1400,58.3,0.9261
1400,60.6,0.9243
1400,63.0,0.9225
1400,65.3,0.9208
1400,67.7,0.9189
1400,70.0,0.9171
1500,2.0,0.6530
1500,4.3,0.8322
1500,6.7,0.8844
1500,9.0,0.9086
1500,11.4,0.9220
1500,13.7,0.9302
1500,16.1,0.9355
1500,18.4,0.9390
1500,20.8,0.9412
1500,23.1,0.9426
1500,25.4,0.9434
1500,27.8,0.9438
1500,30.1,0.9438
1500,32.5,0.9435
1500,34.8,0.9430
1500,37.2,0.9424
1500,39.5,0.9416
1500,41.9,0.9406
1500,44.2,0.9396
1500,46.6,0.9385
1500,48.9,0.9373
1500,51.2,0.9361
1500,53.6,0.9348
1500,55.9,0.9334
1500,58.3,0.9320
1500,60.6,0.9306
1500,63.0,0.9292
1500,65.3,0.9277
1500,67.7,0.9262
1500,70.0,0.9246
1600,2.0,0.6260
1600,4.3,0.8201
1600,6.7,0.8770
1600,9.0,0.9035
1600,11.4,0.9184
1600,13.7,0.9276
1600,16.1,0.9337
1600,18.4,0.9378
1600,20.8,0.9406
1600,23.1,0.9425
1600,25.4,0.9437
1600,27.8,0.9445
1600,30.1,0.9449
1600,32.5,0.9450
1600,34.8,0.9448
1600,37.2,0.9445
1600,39.5,0.9440
1600,41.9,0.9434
1600,44.2,0.9427
1600,46.6,0.9418
1600,48.9,0.9409
1600,51.2,0.9400
1600,53.6,0.9390
1600,55.9,0.9379
1600,58.3,0.9368
1600,60.6,0.9356
1600,63.0,0.9344
1600,65.3,0.9332
1600,67.7,0.9319
1600,70.0,0.9306
1700,2.0,0.5977
1700,4.3,0.8073
1700,6.7,0.8690
1700,9.0,0.8979
1700,11.4,0.9143
1700,13.7,0.9246
1700,16.1,0.9314
1700,18.4,0.9362
1700,20.8,0.9395
1700,23.1,0.9419
1700,25.4,0.9435
1700,27.8,0.9447
1700,30.1,0.9454
1700,32.5,0.9458
1700,34.8,0.9460
1700,37.2,0.9459
1700,39.5,0.9457
1700,41.9,0.9454
1700,44.2,0.9449
1700,46.6,0.9444
1700,48.9,0.9437
1700,51.2,0.9430
1700,53.6,0.9422
1700,55.9,0.9413
1700,58.3,0.9404
1700,60.6,0.9395
1700,63.0,0.9385
1700,65.3,0.9375
1700,67.7,0.9365
1700,70.0,0.9354
1800,2.0,0.5682
1800,4.3,0.7940
1800,6.7,0.8606
1800,9.0,0.8919
1800,11.4,0.9098
1800,13.7,0.9212
1800,16.1,0.9288
1800,18.4,0.9342
1800,20.8,0.9380
1800,23.1,0.9409
1800,25.4,0.9429
1800,27.8,0.9444
1800,30.1,0.9455
1800,32.5,0.9462
1800,34.8,0.9466
1800,37.2,0.9468
1800,39.5,0.9469
1800,41.9,0.9468
1800,44.2,0.9465
1800,46.6,0.9462
1800,48.9,0.9458
1800,51.2,0.9453
1800,53.6,0.9447
1800,55.9,0.9440
1800,58.3,0.9433
1800,60.6,0.9426
1800,63.0,0.9418
1800,65.3,0.9410
1800,67.7,0.9401
1800,70.0,0.9393
1900,2.0,0.5374
1900,4.3,0.7800
1900,6.7,0.8517
1900,9.0,0.8856
1900,11.4,0.9051
1900,13.7,0.9174
1900,16.1,0.9259
1900,18.4,0.9319
1900,20.8,0.9363
1900,23.1,0.9395
1900,25.4,0.9419
1900,27.8,0.9438
1900,30.1,0.9451
1900,32.5,0.9461
1900,34.8,0.9468
1900,37.2,0.9473
1900,39.5,0.9476
1900,41.9,0.9477
1900,44.2,0.9477
1900,46.6,0.9475
1900,48.9,0.9473
1900,51.2,0.9470
1900,53.6,0.9466
1900,55.9,0.9461
1900,58.3,0.9456
1900,60.6,0.9450
1900,63.0,0.9444
1900,65.3,0.9438
1900,67.7,0.9431
1900,70.0,0.9424
2000,2.0,0.5055
2000,4.3,0.7655
2000,6.7,0.8425
2000,9.0,0.8790
2000,11.4,0.9000
2000,13.7,0.9134
2000,16.1,0.9227
2000,18.4,0.9293
2000,20.8,0.9342
2000,23.1,0.9378
2000,25.4,0.9407
2000,27.8,0.9428
2000,30.1,0.9445
2000,32.5,0.9457
2000,34.8,0.9467
2000,37.2,0.9474
2000,39.5,0.9479
2000,41.9,0.9482
2000,44.2,0.9484
2000,46.6,0.9484
2000,48.9,0.9483
2000,51.2,0.9482
2000,53.6,0.9480
2000,55.9,0.9477
2000,58.3,0.9473
2000,60.6,0.9469
2000,63.0,0.9465
2000,65.3,0.9459
2000,67.7,0.9454
2000,70.0,0.9448
2100,2.0,0.4722
2100,4.3,0.7503
2100,6.7,0.8328
2100,9.0,0.8720
2100,11.4,0.8946
2100,13.7,0.9092
2100,16.1,0.9192
2100,18.4,0.9264
2100,20.8,0.9318
2100,23.1,0.9359
2100,25.4,0.9391
2100,27.8,0.9416
2100,30.1,0.9435
2100,32.5,0.9450
2100,34.8,0.9462
2100,37.2,0.9471
2100,39.5,0.9478
2100,41.9,0.9483
2100,44.2,0.9487
2100,46.6,0.9489
2100,48.9,0.9490
2100,51.2,0.9490
2100,53.6,0.9490
2100,55.9,0.9488
2100,58.3,0.9486
2100,60.6,0.9483
2100,63.0,0.9480
2100,65.3,0.9477
2100,67.7,0.9473
2100,70.0,0.9468
2200,2.0,0.4378
2200,4.3,0.7346
2200,6.7,0.8227
2200,9.0,0.8646
2200,11.4,0.8889
2200,13.7,0.9046
2200,16.1,0.9155
2200,18.4,0.9234
2200,20.8,0.9293
2200,23.1,0.9338
2200,25.4,0.9373
2200,27.8,0.9401
2200,30.1,0.9423
2200,32.5,0.9441
2200,34.8,0.9455
2200,37.2,0.9466
2200,39.5,0.9475
2200,41.9,0.9482
2200,44.2,0.9487
2200,46.6,0.9491
2200,48.9,0.9494
2200,51.2,0.9495
2200,53.6,0.9496
2200,55.9,0.9496
2200,58.3,0.9495
2200,60.6,0.9494
2200,63.0,0.9492
2200,65.3,0.9490
2200,67.7,0.9487
2200,70.0,0.9484
2300,2.0,0.4021
2300,4.3,0.7183
2300,6.7,0.8122
2300,9.0,0.8570
2300,11.4,0.8830
2300,13.7,0.8998
2300,16.1,0.9115
2300,18.4,0.9201
2300,20.8,0.9265
2300,23.1,0.9314
2300,25.4,0.9353
2300,27.8,0.9384
2300,30.1,0.9409
2300,32.5,0.9429
2300,34.8,0.9445
2300,37.2,0.9459
2300,39.5,0.9470
