t_s,v_kmh,grade_pct,P_wheel_kW,fuel_g_per_s
6300.0000,47.4149,0.3395,15.0021,1.3526
6300.1000,47.4094,0.3394,14.5600,1.3277
6300.2000,47.4008,0.3394,13.8854,1.2897
6300.3000,47.3900,0.3394,13.4662,1.2660
6300.4000,47.3781,0.3393,13.4253,1.2635
6300.5000,47.3670,0.3393,13.2190,1.2518
6300.6000,47.3536,0.3392,12.7940,1.2277
6300.7000,47.3392,0.3392,12.5006,1.2109
6300.8000,47.3234,0.3391,11.9240,1.1781
6300.9000,47.3045,0.3391,11.0542,1.1286
6301.0000,47.2819,0.3390,10.2870,1.0847
6301.1000,47.2569,0.3390,9.6697,1.0493
6301.2000,47.2295,0.3389,9.0506,1.0137
6301.3000,47.1996,0.3389,8.7924,0.9986
6301.4000,47.1702,0.3388,8.7228,0.9943
6301.5000,47.1399,0.3387,8.6996,0.9926
6301.6000,47.1105,0.3387,8.9200,1.0049
6301.7000,47.0821,0.3386,9.2124,1.0213
6301.8000,47.0550,0.3385,9.3860,1.0309
6301.9000,47.0281,0.3384,9.6868,1.0477
6302.0000,47.0036,0.3384,9.9840,1.0644
6302.1000,46.9791,0.3383,9.9417,1.0617
6302.2000,46.9544,0.3382,9.7141,1.0485
6302.3000,46.9282,0.3381,9.3077,1.0250
6302.4000,46.9003,0.3380,8.7315,0.9918
6302.5000,46.8696,0.3380,8.3462,0.9694
6302.6000,46.8386,0.3379,8.3847,0.9712
6302.7000,46.8083,0.3378,8.6415,0.9856
6302.8000,46.7796,0.3377,9.1321,1.0133
6302.9000,46.7534,0.3376,9.8536,1.0542
6303.0000,46.7306,0.3375,10.8572,1.1110
6303.1000,46.7125,0.3374,11.9180,1.1709
6303.2000,46.6984,0.3373,12.9045,1.2264
6303.3000,46.6884,0.3372,14.1311,1.2953
6303.4000,46.6842,0.3371,15.3023,1.3609
6303.5000,46.6837,0.3369,16.1231,1.4068
6303.6000,46.6861,0.3368,16.9995,1.4557
6303.7000,46.6927,0.3367,18.0630,1.5148
6303.8000,46.7038,0.3366,19.0765,1.5711
6303.9000,46.7185,0.3365,19.9014,1.6168
6304.0000,46.7361,0.3364,20.6577,1.6586
6304.1000,46.7569,0.3362,21.6271,1.7121
6304.2000,46.7822,0.3361,22.8113,1.7772
6304.3000,46.8124,0.3360,24.1086,1.8483
6304.4000,46.8481,0.3358,25.4259,1.9203
6304.5000,46.8887,0.3357,26.2328,1.9645
6304.6000,46.9306,0.3356,26.1054,1.9582
6304.7000,46.9699,0.3354,25.4015,1.9205
6304.8000,47.0059,0.3353,24.3145,1.8620
6304.9000,47.0363,0.3351,23.1309,1.7979
6305.0000,47.0626,0.3350,22.2163,1.7482
6305.1000,47.0855,0.3348,21.6052,1.7150
6305.2000,47.1068,0.3347,21.1939,1.6926
6305.3000,47.1263,0.3345,20.7749,1.6698
6305.4000,47.1441,0.3343,20.1218,1.6341
6305.5000,47.1583,0.3342,19.2497,1.5861
6305.6000,47.1691,0.3340,18.6641,1.5538
6305.7000,47.1785,0.3338,18.2595,1.5315
6305.8000,47.1860,0.3337,17.8870,1.5109
6305.9000,47.1925,0.3335,17.8436,1.5086
6306.0000,47.1996,0.3333,17.8696,1.5101
6306.1000,47.2062,0.3331,17.4909,1.4891
6306.2000,47.2103,0.3329,17.1512,1.4703
6306.3000,47.2142,0.3327,16.9500,1.4591
6306.4000,47.2167,0.3326,16.6940,1.4449
6306.5000,47.2186,0.3324,16.8538,1.4538
6306.6000,47.2223,0.3322,17.2822,1.4777
6306.7000,47.2276,0.3320,17.8332,1.5084
6306.8000,47.2358,0.3318,18.4095,1.5405
6306.9000,47.2456,0.3316,18.7063,1.5571
6307.0000,47.2561,0.3314,18.6252,1.5527
6307.1000,47.2653,0.3311,18.5739,1.5500
6307.2000,47.2753,0.3309,18.4620,1.5439
6307.3000,47.2835,0.3307,18.2550,1.5325
6307.4000,47.2919,0.3305,18.2511,1.5324
6307.5000,47.3001,0.3303,18.5963,1.5516
6307.6000,47.3112,0.3300,19.1501,1.5824
6307.7000,47.3238,0.3298,19.4080,1.5968
6307.8000,47.3369,0.3296,19.5860,1.6068
6307.9000,47.3508,0.3294,19.7609,1.6167
6308.0000,47.3652,0.3291,19.6117,1.6086
6308.1000,47.3779,0.3289,19.1310,1.5822
6308.2000,47.3885,0.3286,18.5805,1.5518
6308.3000,47.3967,0.3284,18.0272,1.5212
6308.4000,47.4029,0.3281,17.5022,1.4921
6308.5000,47.4069,0.3279,16.8406,1.4553
6308.6000,47.4078,0.3276,16.0071,1.4088
