t_s,v_kmh,grade_pct,P_wheel_kW,P_direct_kW,P_bus_kW,P_batt_kW,E_batt_kWh,P_regen_capt_kW
0.0000,0.2280,0.2524,0.3226,0.0000,2.3726,7.1532,0.0000,0.0000
0.1000,0.4560,0.2524,0.7369,0.0000,2.8513,6.6889,0.0002,0.0000
0.2000,0.7600,0.2524,1.5341,0.0000,3.7722,5.7956,0.0004,0.0000
0.3000,1.1400,0.2524,2.5306,0.0000,4.9234,4.6789,0.0005,0.0000
0.4000,1.5200,0.2524,3.3741,0.0000,5.8979,3.7337,0.0006,0.0000
0.5000,1.8999,0.2524,4.2177,0.0000,6.8724,2.7884,0.0007,0.0000
0.6000,2.2799,0.2524,5.0613,0.0000,7.8470,1.8431,0.0008,0.0000
0.7000,2.6599,0.2525,5.9048,0.0000,8.8215,0.8978,0.0008,0.0000
0.8000,3.0398,0.2525,6.7484,0.0000,9.7959,-0.0504,0.0008,0.0000
0.9000,3.4197,0.2525,7.5918,0.0000,10.7703,-1.0549,0.0008,0.0000
1.0000,3.7996,0.2525,8.4351,0.0000,11.7445,-2.0592,0.0008,0.0000
1.1000,4.1795,0.2525,9.2782,0.0000,12.7185,-3.0634,0.0007,0.0000
1.2000,4.5593,0.2525,10.1211,0.0000,13.6922,-4.0672,0.0006,0.0000
1.3000,4.9391,0.2525,10.9637,0.0000,14.6656,-5.0706,0.0005,0.0000
1.4000,5.3188,0.2526,11.8058,0.0000,15.6385,-6.0737,0.0003,0.0000
1.5000,5.6984,0.2526,12.6476,0.0000,16.6108,-7.0761,0.0001,0.0000
1.6000,6.0780,0.2526,13.4887,0.0000,17.5826,-8.0779,-0.0001,0.0000
1.7000,6.4574,0.2526,14.3292,0.0000,18.5535,-9.0789,-0.0003,0.0000
1.8000,6.8368,0.2527,15.1690,0.0000,19.5236,-10.0790,-0.0006,0.0000
1.9000,7.2160,0.2527,16.0078,0.0000,20.4927,-11.0780,-0.0009,0.0000
2.0000,7.5951,0.2527,16.8457,0.0000,21.4606,-12.0759,-0.0012,0.0000
2.1000,7.9741,0.2528,17.6824,0.0000,22.4273,-13.0724,-0.0015,0.0000
2.2000,8.3529,0.2528,18.5179,0.0000,23.3924,-14.0674,-0.0019,0.0000
2.3000,8.7316,0.2528,19.3520,0.0000,24.3560,-15.0608,-0.0023,0.0000
2.4000,9.1100,0.2529,20.1845,0.0000,25.3177,-16.0523,-0.0028,0.0000
2.5000,9.4882,0.2529,21.0153,0.0000,26.2775,-17.0417,-0.0032,0.0000
2.6000,9.8663,0.2529,21.8442,0.0000,27.2351,-18.0290,-0.0037,0.0000
2.7000,10.2440,0.2530,22.6711,0.0000,28.1904,-19.0138,-0.0042,0.0000
2.8000,10.6215,0.2530,23.4958,0.0000,29.1431,-19.9959,-0.0048,0.0000
2.9000,10.9987,0.2531,24.3181,0.0000,30.0930,-20.9752,-0.0053,0.0000
3.0000,11.3757,0.2531,25.1377,0.0000,31.0399,-21.9514,-0.0059,0.0000
3.1000,11.7523,0.2531,25.9546,0.0000,31.9836,-22.9243,-0.0065,0.0000
3.2000,12.1285,0.2532,26.7685,0.0000,32.9238,-23.8936,-0.0072,0.0000
3.3000,12.5044,0.2532,27.5792,0.0000,33.8603,-24.8591,-0.0079,0.0000
3.4000,12.8799,0.2533,28.3864,0.0000,34.7929,-25.8205,-0.0086,0.0000
3.5000,13.2549,0.2533,29.1901,0.0000,35.7213,-26.7776,-0.0093,0.0000
3.6000,13.6296,0.2534,29.9899,0.0000,36.6452,-27.7301,-0.0101,0.0000
3.7000,14.0037,0.2534,30.7855,0.0000,37.5644,-28.6777,-0.0108,0.0000
3.8000,14.3774,0.2535,31.5769,0.0000,38.4786,-29.6202,-0.0117,0.0000
3.9000,14.7505,0.2536,32.3637,0.0000,39.3875,-30.5572,-0.0125,0.0000
4.0000,15.1231,0.2536,33.1457,0.0000,40.2909,-31.4885,-0.0134,0.0000
4.1000,15.4952,0.2537,33.9226,0.0000,41.1884,-32.4138,-0.0142,0.0000
4.2000,15.8666,0.2537,34.6942,0.0000,42.0799,-33.3328,-0.0152,0.0000
4.3000,16.2374,0.2538,35.4603,0.0000,42.9648,-34.2452,-0.0161,0.0000
4.4000,16.6075,0.2538,36.2206,0.0000,43.8431,-35.1506,-0.0171,0.0000
4.5000,16.9770,0.2539,36.9747,0.0000,44.7144,-36.0488,-0.0180,0.0000
4.6000,17.3457,0.2540,37.7226,0.0000,45.5783,-36.9394,-0.0191,0.0000
4.7000,17.7137,0.2540,38.4638,0.0000,46.4346,-37.8222,-0.0201,0.0000
4.8000,18.0809,0.2541,39.1982,0.0000,47.2829,-38.6968,-0.0212,0.0000
4.9000,18.4473,0.2542,39.9254,0.0000,48.1230,-39.5629,-0.0222,0.0000
5.0000,18.8129,0.2542,40.6452,0.0000,48.9545,-40.4201,-0.0234,0.0000
5.1000,19.1776,0.2543,41.3573,0.0000,49.7772,-41.2682,-0.0245,0.0000
5.2000,19.5413,0.2544,42.0614,0.0000,50.5907,-42.1068,-0.0257,0.0000
5.3000,19.9042,0.2544,42.7574,0.0000,51.3946,-42.9357,-0.0268,0.0000
5.4000,20.2660,0.2545,43.4448,0.0000,52.1888,-43.7544,-0.0280,0.0000
5.5000,20.6269,0.2546,44.1235,0.0000,52.9728,-44.5627,-0.0293,0.0000
5.6000,20.9867,0.2546,44.7931,0.0000,53.7464,-45.3602,-0.0305,0.0000
5.7000,21.3455,0.2547,45.4535,0.0000,54.5092,-46.1466,-0.0318,0.0000
5.8000,21.7031,0.2548,46.1042,0.0000,55.2610,-46.9217,-0.0331,0.0000
5.9000,22.0596,0.2548,46.7452,0.0000,56.0015,-47.6850,-0.0344,0.0000
6.0000,22.4150,0.2549,47.3761,0.0000,56.7303,-48.4363,-0.0357,0.0000
6.1000,22.7691,0.2550,47.9966,0.0000,57.4471,-49.1753,-0.0371,0.0000
6.2000,23.1220,0.2551,48.6065,0.0000,58.1517,-49.9017,-0.0385,0.0000
6.3000,23.4736,0.2551,49.2056,0.0000,58.8438,-50.6152,-0.0399,0.0000
6.4000,23.8239,0.2552,49.7936,0.0000,59.5231,-51.3155,-0.0413,0.0000
6.5000,24.1728,0.2553,50.3702,0.0000,60.1892,-52.0023,-0.0427,0.0000
6.6000,24.5204,0.2554,50.9353,0.0000,60.8421,-52.6753,-0.0442,0.0000
6.7000,24.8665,0.2554,51.4886,0.0000,61.4813,-53.3343,-0.0456,0.0000
6.8000,25.2112,0.2555,52.0299,0.0000,62.1066,-53.9789,-0.0471,0.0000
6.9000,25.5544,0.2556,52.5590,0.0000,62.7178,-54.6090,-0.0486,0.0000
7.0000,25.8961,0.2557,53.0756,0.0000,63.3146,-55.2243,-0.0502,0.0000
7.1000,26.2362,0.2557,53.5796,0.0000,63.8968,-55.8245,-0.0517,0.0000
7.2000,26.5747,0.2558,54.0708,0.0000,64.4642,-56.4095,-0.0533,0.0000
7.3000,26.9116,0.2559,54.5489,0.0000,65.0166,-56.9789,-0.0548,0.0000
7.4000,27.2469,0.2560,55.0139,0.0000,65.5537,-57.5327,-0.0564,0.0000
7.5000,27.5804,0.2560,55.4655,0.0000,66.0754,-58.0705,-0.0580,0.0000
7.6000,27.9122,0.2561,55.9035,0.0000,66.5814,-58.5922,-0.0596,0.0000
7.7000,28.2423,0.2562,56.3279,0.0000,67.0717,-59.0976,-0.0613,0.0000
7.8000,28.5706,0.2563,56.7384,0.0000,67.5460,-59.5865,-0.0629,0.0000
7.9000,28.8971,0.2563,57.1350,0.0000,68.0041,-60.0589,-0.0646,0.0000
8.0000,29.2217,0.2564,57.5175,0.0000,68.4460,-60.5144,-0.0663,0.0000
8.1000,29.5444,0.2565,57.8859,0.0000,68.8715,-60.9531,-0.0680,0.0000
8.2000,29.8652,0.2566,58.2399,0.0000,69.2805,-61.3747,-0.0697,0.0000
8.3000,30.1841,0.2566,58.5796,0.0000,69.6729,-61.7793,-0.0714,0.0000
8.4000,30.5009,0.2567,58.9048,0.0000,70.0486,-62.1666,-0.0731,0.0000
8.5000,30.8158,0.2568,59.2154,0.0000,70.4075,-62.5366,-0.0748,0.0000
8.6000,31.1286,0.2569,59.5115,0.0000,70.7495,-62.8892,-0.0766,0.0000
8.7000,31.4394,0.2569,59.7930,0.0000,71.0747,-63.2244,-0.0783,0.0000
8.8000,31.7481,0.2570,60.0597,0.0000,71.3829,-63.5421,-0.0801,0.0000
8.9000,32.0546,0.2571,60.3118,0.0000,71.6740,-63.8423,-0.0818,0.0000
9.0000,32.3590,0.2572,60.5492,0.0000,71.9483,-64.1250,-0.0836,0.0000
9.1000,32.6613,0.2572,60.7718,0.0000,72.2055,-64.3901,-0.0854,0.0000
9.2000,32.9613,0.2573,60.9797,0.0000,72.4457,-64.6378,-0.0872,0.0000
9.3000,33.2591,0.2574,61.1730,0.0000,72.6689,-64.8679,-0.0890,0.0000
9.4000,33.5547,0.2574,61.3516,0.0000,72.8753,-65.0806,-0.0908,0.0000
9.5000,33.8480,0.2575,61.5156,0.0000,73.0647,-65.2760,-0.0926,0.0000
9.6000,34.1390,0.2576,61.6650,0.0000,73.2373,-65.4539,-0.0944,0.0000
9.7000,34.4277,0.2576,61.8000,0.0000,73.3932,-65.6146,-0.0962,0.0000
9.8000,34.7141,0.2577,61.9205,0.0000,73.5325,-65.7582,-0.0981,0.0000
9.9000,34.9981,0.2578,62.0267,0.0000,73.6552,-65.8847,-0.0999,0.0000
10.0000,35.2797,0.2578,62.1187,0.0000,73.7614,-65.9942,-0.1017,0.0000
10.1000,35.5590,0.2579,62.1965,0.0000,73.8513,-66.0869,-0.1036,0.0000
10.2000,35.8358,0.2580,62.2604,0.0000,73.9251,-66.1630,-0.1054,0.0000
10.3000,36.1102,0.2580,62.3104,0.0000,73.9828,-66.2225,-0.1072,0.0000
10.4000,36.3822,0.2581,62.3466,0.0000,74.0247,-66.2657,-0.1091,0.0000
10.5000,36.6517,0.2581,62.3693,0.0000,74.0509,-66.2926,-0.1109,0.0000
10.6000,36.9187,0.2582,62.3785,0.0000,74.0615,-66.3036,-0.1128,0.0000
10.7000,37.1833,0.2582,62.3745,0.0000,74.0569,-66.2988,-0.1146,0.0000
10.8000,37.4453,0.2583,62.3573,0.0000,74.0371,-66.2784,-0.1164,0.0000
10.9000,37.7048,0.2584,62.3273,0.0000,74.0024,-66.2427,-0.1183,0.0000
11.0000,37.9619,0.2584,62.2846,0.0000,73.9530,-66.1918,-0.1201,0.0000
11.1000,38.2163,0.2585,62.2293,0.0000,73.8892,-66.1260,-0.1220,0.0000
11.2000,38.4683,0.2585,62.1618,0.0000,73.8112,-66.0455,-0.1238,0.0000
11.3000,38.7177,0.2586,62.0821,0.0000,73.7191,-65.9506,-0.1256,0.0000
11.4000,38.9645,0.2586,61.9906,0.0000,73.6134,-65.8416,-0.1275,0.0000
11.5000,39.2088,0.2587,61.8874,0.0000,73.4943,-65.7188,-0.1293,0.0000
11.6000,39.4505,0.2587,61.7729,0.0000,73.3619,-65.5823,-0.1311,0.0000
11.7000,39.6897,0.2587,59.8097,0.0000,71.0941,-63.2444,-0.1329,0.0000
11.8000,39.9088,0.2588,55.8908,0.0000,66.5667,-58.5770,-0.1346,0.0000
11.9000,40.1073,0.2588,51.9430,0.0000,62.0062,-53.8754,-0.1362,0.0000
12.0000,40.2863,0.2589,47.8815,0.0000,57.3141,-49.0382,-0.1376,0.0000
12.1000,40.4443,0.2589,43.6637,0.0000,52.4416,-44.0150,-0.1389,0.0000
12.2000,40.5819,0.2589,41.1332,0.0000,49.5183,-41.0013,-0.1401,0.0000
12.3000,40.7148,0.2590,40.3520,0.0000,48.6159,-40.0710,-0.1412,0.0000
12.4000,40.8437,0.2590,39.6758,0.0000,47.8347,-39.2656,-0.1423,0.0000
12.5000,40.9689,0.2590,39.2247,0.0000,47.3136,-38.7284,-0.1434,0.0000
12.6000,41.0922,0.2591,38.8799,0.0000,46.9153,-38.3178,-0.1444,0.0000
12.7000,41.2130,0.2591,38.5974,0.0000,46.5889,-37.9813,-0.1455,0.0000
12.8000,41.3325,0.2591,38.3715,0.0000,46.3279,-37.7123,-0.1465,0.0000
12.9000,41.4500,0.2591,37.8598,0.0000,45.7368,-37.1029,-0.1476,0.0000
13.0000,41.5637,0.2592,37.2101,0.0000,44.9863,-36.3291,-0.1486,0.0000
13.1000,41.6741,0.2592,36.7511,0.0000,44.4560,-35.7825,-0.1496,0.0000
13.2000,41.7826,0.2592,36.4663,0.0000,44.1270,-35.4433,-0.1506,0.0000
13.3000,41.8894,0.2592,36.0741,0.0000,43.6739,-34.9761,-0.1516,0.0000
13.4000,41.9932,0.2592,35.4762,0.0000,42.9832,-34.2641,-0.1525,0.0000
13.5000,42.0937,0.2592,34.7196,0.0000,42.1091,-33.3630,-0.1535,0.0000
13.6000,42.1898,0.2593,33.7295,0.0000,40.9653,-32.1838,-0.1544,0.0000
13.7000,42.2805,0.2593,32.3977,0.0000,39.4268,-30.5977,-0.1553,0.0000
13.8000,42.3640,0.2593,31.1406,0.0000,37.9746,-29.1005,-0.1561,0.0000
13.9000,42.4428,0.2593,30.6095,0.0000,37.3610,-28.4680,-0.1569,0.0000
14.0000,42.5209,0.2593,30.3156,0.0000,37.0215,-28.1181,-0.1577,0.0000
14.1000,42.5964,0.2593,29.8306,0.0000,36.4612,-27.5404,-0.1584,0.0000
14.2000,42.6696,0.2593,29.7666,0.0000,36.3873,-27.4642,-0.1592,0.0000
14.3000,42.7440,0.2593,29.9616,0.0000,36.6126,-27.6964,-0.1600,0.0000
14.4000,42.8183,0.2593,29.5974,0.0000,36.1918,-27.2626,-0.1607,0.0000
14.5000,42.8889,0.2593,29.0294,0.0000,35.5356,-26.5862,-0.1615,0.0000
14.6000,42.9576,0.2593,28.7426,0.0000,35.2044,-26.2447,-0.1622,0.0000
14.7000,43.0252,0.2593,28.2614,0.0000,34.6484,-25.6715,-0.1629,0.0000
14.8000,43.0892,0.2593,27.7133,0.0000,34.0152,-25.0188,-0.1636,0.0000
14.9000,43.1514,0.2593,27.1753,0.0000,33.3938,-24.3781,-0.1643,0.0000
15.0000,43.2103,0.2592,26.5218,0.0000,32.6388,-23.5997,-0.1650,0.0000
15.1000,43.2664,0.2592,25.9353,0.0000,31.9612,-22.9012,-0.1656,0.0000
15.2000,43.3197,0.2592,25.3809,0.0000,31.3208,-22.2410,-0.1663,0.0000
15.3000,43.3706,0.2592,24.8038,0.0000,30.6541,-21.5537,-0.1669,0.0000
15.4000,43.4186,0.2592,24.4370,0.0000,30.2304,-21.1169,-0.1675,0.0000
15.5000,43.4660,0.2591,24.4462,0.0000,30.2410,-21.1278,-0.1681,0.0000
15.6000,43.5137,0.2591,24.4338,0.0000,30.2267,-21.1130,-0.1686,0.0000
15.7000,43.5607,0.2591,24.3237,0.0000,30.0995,-20.9820,-0.1692,0.0000
15.8000,43.6072,0.2591,23.9909,0.0000,29.7150,-20.5856,-0.1698,0.0000
15.9000,43.6510,0.2590,23.2666,0.0000,28.8783,-19.7229,-0.1704,0.0000
16.0000,43.6908,0.2590,22.1957,0.0000,27.6412,-18.4476,-0.1709,0.0000
16.1000,43.7251,0.2590,20.8041,0.0000,26.0335,-16.7902,-0.1714,0.0000
16.2000,43.7528,0.2589,19.2113,0.0000,24.1935,-14.8933,-0.1718,0.0000
16.3000,43.7732,0.2589,17.5865,0.0000,22.3164,-12.9582,-0.1722,0.0000
16.4000,43.7867,0.2589,16.1300,0.0000,20.6338,-11.2235,-0.1726,0.0000
16.5000,43.7945,0.2588,14.8760,0.0000,19.1852,-9.7301,-0.1728,0.0000
16.6000,43.7972,0.2588,14.0733,0.0000,18.2580,-8.7742,-0.1731,0.0000
16.7000,43.7980,0.2588,13.5021,0.0000,17.5981,-8.0939,-0.1733,0.0000
16.8000,43.7958,0.2587,12.9613,0.0000,16.9733,-7.4498,-0.1736,0.0000
16.9000,43.7920,0.2587,12.7884,0.0000,16.7736,-7.2438,-0.1738,0.0000
17.0000,43.7882,0.2586,12.9852,0.0000,17.0009,-7.4783,-0.1740,0.0000
17.1000,43.7861,0.2586,13.4111,0.0000,17.4929,-7.9854,-0.1742,0.0000
17.2000,43.7861,0.2585,13.9509,0.0000,18.1166,-8.6284,-0.1744,0.0000
17.3000,43.7887,0.2585,14.4928,0.0000,18.7425,-9.2737,-0.1747,0.0000
17.4000,43.7933,0.2584,14.9249,0.0000,19.2417,-9.7884,-0.1749,0.0000
17.5000,43.7996,0.2584,15.2347,0.0000,19.5997,-10.1573,-0.1752,0.0000
17.6000,43.8069,0.2583,15.3144,0.0000,19.6916,-10.2522,-0.1755,0.0000
17.7000,43.8138,0.2583,15.4693,0.0000,19.8706,-10.4367,-0.1758,0.0000
17.8000,43.8224,0.2582,15.9561,0.0000,20.4330,-11.0165,-0.1761,0.0000
17.9000,43.8334,0.2581,16.3413,0.0000,20.8780,-11.4752,-0.1764,0.0000
18.0000,43.8453,0.2581,16.4175,0.0000,20.9660,-11.5659,-0.1767,0.0000
18.1000,43.8570,0.2580,16.4556,0.0000,21.0101,-11.6114,-0.1770,0.0000
18.2000,43.8691,0.2580,16.4819,0.0000,21.0404,-11.6426,-0.1773,0.0000
18.3000,43.8810,0.2579,16.5517,0.0000,21.1211,-11.7258,-0.1777,0.0000
18.4000,43.8936,0.2578,16.4607,0.0000,21.0159,-11.6174,-0.1780,0.0000
18.5000,43.9046,0.2578,16.0189,0.0000,20.5055,-11.0912,-0.1783,0.0000
18.6000,43.9135,0.2577,15.6521,0.0000,20.0818,-10.6544,-0.1786,0.0000
18.7000,43.9213,0.2576,15.5926,0.0000,20.0130,-10.5835,-0.1789,0.0000
18.8000,43.9296,0.2575,15.7413,0.0000,20.1848,-10.7606,-0.1792,0.0000
18.9000,43.9386,0.2575,16.3339,0.0000,20.8694,-11.4664,-0.1795,0.0000
19.0000,43.9520,0.2574,17.1956,0.0000,21.8649,-12.4926,-0.1798,0.0000
19.1000,43.9684,0.2573,17.5938,0.0000,22.3249,-12.9669,-0.1802,0.0000
19.2000,43.9850,0.2572,17.7569,0.0000,22.5133,-13.1611,-0.1806,0.0000
19.3000,44.0028,0.2572,17.5482,0.0000,22.2722,-12.9125,-0.1809,0.0000
19.4000,44.0176,0.2571,16.7407,0.0000,21.3393,-11.9508,-0.1813,0.0000
19.5000,44.0283,0.2570,15.7430,0.0000,20.1868,-10.7627,-0.1816,0.0000
19.6000,44.0345,0.2569,14.7135,0.0000,18.9975,-9.5365,-0.1819,0.0000
19.7000,44.0363,0.2568,13.4584,0.0000,17.5476,-8.0418,-0.1821,0.0000
19.8000,44.0318,0.2567,12.3262,0.0000,16.2396,-6.6934,-0.1823,0.0000
19.9000,44.0239,0.2567,11.6001,0.0000,15.4008,-5.8287,-0.1825,0.0000
20.0000,44.0132,0.2566,11.4008,0.0000,15.1705,-5.5912,-0.1826,0.0000
20.1000,44.0037,0.2565,11.8500,0.0000,15.6895,-6.1263,-0.1828,0.0000
20.2000,43.9968,0.2564,12.4355,0.0000,16.3659,-6.8235,-0.1830,0.0000
20.3000,43.9924,0.2563,12.7694,0.0000,16.7516,-7.2212,-0.1832,0.0000
20.4000,43.9884,0.2562,12.7766,0.0000,16.7599,-7.2297,-0.1834,0.0000
20.5000,43.9841,0.2561,12.4698,0.0000,16.4055,-6.8644,-0.1836,0.0000
20.6000,43.9775,0.2560,12.1416,0.0000,16.0264,-6.4736,-0.1838,0.0000
20.7000,43.9704,0.2559,12.0570,0.0000,15.9286,-6.3728,-0.1839,0.0000
20.8000,43.9631,0.2558,12.0146,0.0000,15.8796,-6.3222,-0.1841,0.0000
20.9000,43.9557,0.2557,12.1687,0.0000,16.0577,-6.5059,-0.1843,0.0000
21.0000,43.9498,0.2556,12.4275,0.0000,16.3567,-6.8141,-0.1845,0.0000
21.1000,43.9446,0.2555,12.1870,0.0000,16.0788,-6.5276,-0.1847,0.0000
21.2000,43.9366,0.2554,11.3182,0.0000,15.0751,-5.4929,-0.1848,0.0000
21.3000,43.9240,0.2553,10.3845,0.0000,13.9965,-4.3809,-0.1850,0.0000
21.4000,43.9081,0.2552,9.8430,0.0000,13.3709,-3.7359,-0.1851,0.0000
21.5000,43.8909,0.2551,9.7820,0.0000,13.3005,-3.6634,-0.1852,0.0000
21.6000,43.8745,0.2550,10.2265,0.0000,13.8140,-4.1927,-0.1853,0.0000
21.7000,43.8612,0.2549,11.2025,0.0000,14.9415,-5.3551,-0.1854,0.0000
21.8000,43.8533,0.2548,12.4979,0.0000,16.4379,-6.8978,-0.1856,0.0000
21.9000,43.8512,0.2547,13.7415,0.0000,17.8746,-8.3790,-0.1858,0.0000
22.0000,43.8540,0.2546,14.6860,0.0000,18.9658,-9.5038,-0.1861,0.0000
22.1000,43.8600,0.2545,15.3139,0.0000,19.6911,-10.2516,-0.1863,0.0000
22.2000,43.8682,0.2544,15.7326,0.0000,20.1748,-10.7503,-0.1866,0.0000
22.3000,43.8778,0.2542,16.1399,0.0000,20.6453,-11.2353,-0.1869,0.0000
22.4000,43.8894,0.2541,16.3530,0.0000,20.8915,-11.4892,-0.1872,0.0000
22.5000,43.9008,0.2540,16.3903,0.0000,20.9345,-11.5335,-0.1876,0.0000
22.6000,43.9127,0.2539,16.6074,0.0000,21.1854,-11.7922,-0.1879,0.0000
22.7000,43.9259,0.2538,17.0655,0.0000,21.7146,-12.3377,-0.1882,0.0000
22.8000,43.9417,0.2537,17.6164,0.0000,22.3510,-12.9937,-0.1886,0.0000
22.9000,43.9596,0.2536,18.1483,0.0000,22.9655,-13.6273,-0.1889,0.0000
23.0000,43.9799,0.2534,18.5485,0.0000,23.4278,-14.1039,-0.1893,0.0000
23.1000,44.0010,0.2533,18.5825,0.0000,23.4671,-14.1444,-0.1897,0.0000
23.2000,44.0215,0.2532,18.2712,0.0000,23.1074,-13.7736,-0.1901,0.0000
23.3000,44.0399,0.2531,17.5509,0.0000,22.2754,-12.9158,-0.1905,0.0000
23.4000,44.0541,0.2530,16.6103,0.0000,21.1888,-11.7956,-0.1908,0.0000
23.5000,44.0644,0.2528,15.7049,0.0000,20.1428,-10.7173,-0.1911,0.0000
23.6000,44.0708,0.2527,14.7564,0.0000,19.0470,-9.5876,-0.1914,0.0000
23.7000,44.0729,0.2526,13.8793,0.0000,18.0338,-8.5431,-0.1917,0.0000
23.8000,44.0719,0.2525,13.1969,0.0000,17.2454,-7.7303,-0.1919,0.0000
23.9000,44.0681,0.2523,12.6941,0.0000,16.6646,-7.1315,-0.1921,0.0000
24.0000,44.0628,0.2522,12.6044,0.0000,16.5610,-7.0247,-0.1923,0.0000
24.1000,44.0583,0.2521,13.1784,0.0000,17.2241,-7.7083,-0.1925,0.0000
24.2000,44.0579,0.2520,14.0453,0.0000,18.2255,-8.7407,-0.1927,0.0000
24.3000,44.0609,0.2518,15.0720,0.0000,19.4116,-9.9635,-0.1930,0.0000
24.4000,44.0692,0.2517,16.3000,0.0000,20.8303,-11.4260,-0.1933,0.0000
24.5000,44.0827,0.2516,17.6011,0.0000,22.3333,-12.9755,-0.1936,0.0000
24.6000,44.1022,0.2514,18.9668,0.0000,23.9111,-14.6021,-0.1940,0.0000
24.7000,44.1272,0.2513,20.4195,0.0000,25.5892,-16.3321,-0.1944,0.0000
24.8000,44.1590,0.2512,21.7979,0.0000,27.1816,-17.9738,-0.1949,0.0000
24.9000,44.1957,0.2510,22.8821,0.0000,28.4342,-19.2651,-0.1954,0.0000
25.0000,44.2365,0.2509,23.5925,0.0000,29.2548,-20.1111,-0.1960,0.0000
25.1000,44.2790,0.2508,23.7801,0.0000,29.4714,-20.3345,-0.1965,0.0000
25.2000,44.3211,0.2506,23.5338,0.0000,29.1870,-20.0412,-0.1971,0.0000
25.3000,44.3613,0.2505,23.2261,0.0000,28.8315,-19.6747,-0.1977,0.0000
25.4000,44.4006,0.2504,22.9114,0.0000,28.4679,-19.2999,-0.1982,0.0000
25.5000,44.4378,0.2502,22.1123,0.0000,27.5448,-18.3483,-0.1987,0.0000
25.6000,44.4701,0.2501,20.8509,0.0000,26.0876,-16.8459,-0.1992,0.0000
25.7000,44.4964,0.2500,19.3777,0.0000,24.3857,-15.0914,-0.1997,0.0000
25.8000,44.5161,0.2498,17.7315,0.0000,22.4839,-13.1308,-0.2000,0.0000
25.9000,44.5283,0.2497,16.1015,0.0000,20.6010,-11.1896,-0.2004,0.0000
26.0000,44.5341,0.2495,14.8513,0.0000,19.1567,-9.7007,-0.2007,0.0000
26.1000,44.5358,0.2494,13.7699,0.0000,17.9075,-8.4128,-0.2009,0.0000
26.2000,44.5323,0.2493,12.9652,0.0000,16.9778,-7.4544,-0.2011,0.0000
26.3000,44.5272,0.2491,12.6348,0.0000,16.5961,-7.0609,-0.2013,0.0000
26.4000,44.5210,0.2490,12.3875,0.0000,16.3104,-6.7663,-0.2015,0.0000
26.5000,44.5138,0.2488,12.2240,0.0000,16.1215,-6.5717,-0.2017,0.0000
26.6000,44.5063,0.2487,12.5976,0.0000,16.5531,-7.0166,-0.2019,0.0000
26.7000,44.5023,0.2486,13.3237,0.0000,17.3919,-7.8813,-0.2021,0.0000
26.8000,44.5009,0.2484,13.8589,0.0000,18.0103,-8.5188,-0.2023,0.0000
26.9000,44.5015,0.2483,14.5088,0.0000,18.7610,-9.2928,-0.2026,0.0000
27.0000,44.5057,0.2481,15.4174,0.0000,19.8107,-10.3749,-0.2029,0.0000
27.1000,44.5139,0.2480,16.0213,0.0000,20.5083,-11.0941,-0.2032,0.0000
27.2000,44.5232,0.2478,15.9320,0.0000,20.4051,-10.9877,-0.2035,0.0000
27.3000,44.5307,0.2477,15.4533,0.0000,19.8521,-10.4176,-0.2038,0.0000
27.4000,44.5358,0.2475,14.9771,0.0000,19.3020,-9.8505,-0.2041,0.0000
27.5000,44.5393,0.2474,14.6581,0.0000,18.9335,-9.4706,-0.2043,0.0000
27.6000,44.5417,0.2473,14.6264,0.0000,18.8969,-9.4328,-0.2046,0.0000
27.7000,44.5449,0.2471,15.2007,0.0000,19.5604,-10.1168,-0.2049,0.0000
27.8000,44.5522,0.2470,16.3895,0.0000,20.9337,-11.5326,-0.2052,0.0000
27.9000,44.5654,0.2468,17.6007,0.0000,22.3328,-12.9750,-0.2055,0.0000
28.0000,44.5830,0.2467,18.2944,0.0000,23.1343,-13.8013,-0.2059,0.0000
28.1000,44.6020,0.2465,18.5329,0.0000,23.4098,-14.0853,-0.2063,0.0000
28.2000,44.6214,0.2464,18.4494,0.0000,23.3133,-13.9859,-0.2066,0.0000
28.3000,44.6396,0.2462,18.2253,0.0000,23.0545,-13.7190,-0.2070,0.0000
28.4000,44.6571,0.2461,18.1977,0.0000,23.0226,-13.6861,-0.2074,0.0000
28.5000,44.6750,0.2459,18.2213,0.0000,23.0498,-13.7141,-0.2078,0.0000
28.6000,44.6926,0.2458,18.0814,0.0000,22.8882,-13.5476,-0.2082,0.0000
28.7000,44.7092,0.2456,17.9683,0.0000,22.7576,-13.4129,-0.2085,0.0000
28.8000,44.7258,0.2455,17.7931,0.0000,22.5552,-13.2043,-0.2089,0.0000
28.9000,44.7408,0.2453,17.2010,0.0000,21.8711,-12.4991,-0.2093,0.0000
29.0000,44.7523,0.2452,16.6628,0.0000,21.2494,-11.8581,-0.2096,0.0000
29.1000,44.7628,0.2451,16.7986,0.0000,21.4063,-12.0199,-0.2099,0.0000
29.2000,44.7754,0.2449,17.2951,0.0000,21.9799,-12.6112,-0.2103,0.0000
29.3000,44.7900,0.2448,17.7547,0.0000,22.5107,-13.1585,-0.2106,0.0000
29.4000,44.8065,0.2446,18.5052,0.0000,23.3778,-14.0524,-0.2110,0.0000
29.5000,44.8273,0.2445,19.3966,0.0000,24.4075,-15.1139,-0.2114,0.0000
