bin_lo_kW,bin_hi_kW,seconds,pct_of_cycle_time
-130,-120,0.10,0.0029
-120,-110,3.50,0.1004
-110,-100,7.70,0.2209
-100,-90,12.50,0.3587
-90,-80,19.10,0.5480
-80,-70,23.10,0.6628
-70,-60,25.50,0.7317
-60,-50,29.10,0.8350
-50,-40,31.80,0.9125
-40,-30,32.60,0.9354
-30,-20,32.60,0.9354
-20,-10,28.90,0.8292
-10,0,95.50,2.7402
0,10,1769.40,50.7704
10,20,944.80,27.1097
20,30,125.90,3.6125
30,40,87.90,2.5222
40,50,125.30,3.5953
50,60,82.70,2.3730
60,70,7.20,0.2066
