t_s,v_kmh,v_ms,grade_pct,dist_m,P_wheel_kW
91.0000,49.9809,13.8836,0.0000,1155.3259,15.0667
92.0000,49.9880,13.8855,0.0000,1169.2105,14.9848
93.0000,49.9921,13.8867,0.0000,1183.0967,14.9368
94.0000,49.9950,13.8875,0.0000,1196.9838,14.9028
95.0000,49.9969,13.8880,0.0000,1210.8716,14.8814
96.0000,49.9980,13.8883,0.0000,1224.7598,14.8679
97.0000,49.9987,13.8885,0.0000,1238.6482,14.8594
98.0000,49.9992,13.8887,0.0000,1252.5369,14.8540
99.0000,49.9919,13.8866,0.0000,1266.4253,13.5947
100.0000,49.9546,13.8763,0.0000,1280.3048,14.5069
101.0000,49.9043,13.8623,0.0000,1294.1773,12.0779
102.0000,49.7593,13.8220,0.0000,1308.0182,12.5809
103.0000,49.7412,13.8170,0.0000,1321.8345,16.4961
104.0000,49.7756,13.8265,0.0000,1335.6586,14.6000
105.0000,49.7767,13.8269,0.0000,1349.4859,13.6949
106.0000,49.7340,13.8150,0.0000,1363.3074,12.6118
107.0000,49.7447,13.8180,0.0000,1377.1183,17.6800
108.0000,49.8389,13.8441,0.0000,1390.9503,16.7125
109.0000,49.8983,13.8606,0.0000,1404.8033,16.0248
110.0000,49.9358,13.8711,0.0000,1418.6696,15.5899
111.0000,49.9595,13.8776,0.0000,1432.5442,15.3152
112.0000,49.9745,13.8818,0.0000,1446.4241,15.1417
113.0000,49.9783,13.8829,0.0000,1460.3067,15.0580
114.0000,49.9863,13.8851,0.0000,1474.1907,15.0042
115.0000,49.9913,13.8865,0.0000,1488.0765,14.9454
116.0000,49.9945,13.8874,0.0000,1501.9635,14.9083
117.0000,49.9809,13.8836,0.0000,1515.8502,14.1285
118.0000,49.9840,13.8844,0.0000,1529.7336,15.0314
119.0000,49.9899,13.8861,0.0000,1543.6189,14.9625
120.0000,49.9575,13.8771,0.0000,1557.5036,12.0379
121.0000,49.7881,13.8300,0.0000,1571.3625,7.3192
122.0000,49.5559,13.7655,0.0000,1585.1565,10.5626
123.0000,49.3640,13.7122,0.0000,1598.8978,9.2616
124.0000,49.3023,13.6951,0.0000,1612.5967,14.1670
125.0000,49.3056,13.6960,0.0000,1626.2905,15.8094
126.0000,49.4858,13.7461,0.0000,1640.0065,20.6791
127.0000,49.5940,13.7761,0.0000,1653.7738,15.3253
128.0000,49.5942,13.7762,0.0000,1667.5532,13.0631
129.0000,49.5693,13.7693,0.0000,1681.3257,13.5634
130.0000,49.5063,13.7517,0.0000,1695.0894,10.5603
131.0000,49.3955,13.7210,0.0000,1708.8230,13.1291
132.0000,49.3490,13.7080,0.0000,1722.5405,11.6973
133.0000,49.2385,13.6774,0.0000,1736.2334,11.1491
134.0000,49.0421,13.6228,0.0000,1749.8854,9.7234
135.0000,48.9194,13.5887,0.0000,1763.4897,11.7830
136.0000,48.8257,13.5627,0.0000,1777.0630,13.4808
137.0000,48.8287,13.5635,0.0000,1790.6271,13.2299
138.0000,48.9472,13.5964,0.0000,1804.2003,19.0133
139.0000,48.9658,13.6016,0.0000,1817.8057,13.0719
140.0000,48.9481,13.5967,0.0000,1831.4049,13.1099
141.0000,48.9206,13.5891,0.0000,1844.9972,13.3807
142.0000,48.8083,13.5579,0.0000,1858.5723,12.8703
143.0000,48.8776,13.5771,0.0000,1872.1325,20.1793
144.0000,49.0842,13.6345,0.0000,1885.7407,18.6606
145.0000,49.2776,13.6882,0.0000,1899.4000,20.9302
146.0000,49.4957,13.7488,0.0000,1913.1200,20.1190
147.0000,49.6785,13.7996,0.0000,1926.8958,18.5075
148.0000,49.7969,13.8325,0.0000,1940.7130,17.1971
149.0000,49.8718,13.8533,0.0000,1954.5567,16.3314
150.0000,49.9190,13.8664,0.0000,1968.4170,15.7855
151.0000,49.9489,13.8747,0.0000,1982.2879,15.4387
152.0000,49.9677,13.8799,0.0000,1996.1654,15.2197
153.0000,49.9796,13.8832,0.0000,2010.0471,15.0814
154.0000,49.9871,13.8853,0.0000,2023.9315,14.9639
155.0000,49.9550,13.8764,0.0000,2037.8132,14.3776
156.0000,49.9660,13.8795,0.0000,2051.6907,15.1792
157.0000,49.8963,13.8601,0.0000,2065.5649,11.3508
158.0000,49.7996,13.8332,0.0000,2079.4093,12.6584
159.0000,49.7252,13.8126,0.0000,2093.2313,13.1139
160.0000,49.6115,13.7810,0.0000,2107.0293,12.0972
161.0000,49.5651,13.7681,0.0000,2120.8010,15.8163
162.0000,49.7006,13.8057,0.0000,2134.5861,18.2416
163.0000,49.8106,13.8363,0.0000,2148.4082,17.0390
164.0000,49.8625,13.8507,0.0000,2162.2538,15.1155
165.0000,49.8688,13.8524,0.0000,2176.1060,15.4406
166.0000,49.9066,13.8629,0.0000,2189.9637,15.1590
167.0000,49.8406,13.8446,0.0000,2203.8220,10.3227
168.0000,49.6082,13.7800,0.0000,2217.6359,8.9122
169.0000,49.4380,13.7328,0.0000,2231.3932,8.8835
170.0000,49.2441,13.6789,0.0000,2245.0976,10.9300
171.0000,49.2565,13.6824,0.0000,2258.7719,16.7271
172.0000,49.2901,13.6917,0.0000,2272.4602,15.9133
173.0000,49.3607,13.7113,0.0000,2286.1638,14.7251
174.0000,49.3494,13.7082,0.0000,2299.8738,13.7606
175.0000,49.2677,13.6855,0.0000,2313.5723,11.8487
176.0000,49.1126,13.6424,0.0000,2327.2397,9.0777
177.0000,48.9444,13.5957,0.0000,2340.8555,12.2400
