t_s,x_m,v_kmh,grade_pct,z_m,P_wheel_kW,fuel_g_per_s,fuel_cum_g,P_friction_brake_kW,trip_time_flag,N_eng_rpm,T_eng_Nm,P_shaft_eng_kW,engine_state,P_gen_bus_kW,P_bus_load_kW,P_motor_bus_kW,P_motor_mech_kW,P_regen_pack_kW,P_heater_kW,P_resistor_kW,soc_pct,T_pack_C,genset_state,P_batt_bus_kW
5700,124698,70.7054,-1.45122,-3.53915,14.0494,1.54628,18323.2,0,0,700,353.827,25.9368,2,24.4756,18.1402,16.1402,14.0494,0,0,0,60.1614,26.5495,2,6.33534
5700.1,124700,70.7086,-1.45124,-3.56765,12.0125,1.54628,18323.4,0,0,700,353.827,25.9368,2,24.4756,16.0071,14.0071,12.0125,0,0,0,60.1635,26.5494,2,8.4685
5700.2,124701,70.705,-1.45126,-3.59616,10.0456,1.54628,18323.5,0,0,700,353.827,25.9368,2,24.4756,13.947,11.947,10.0456,0,0,0,60.1661,26.5492,2,10.5286
5700.3,124703,70.6977,-1.45126,-3.62466,8.66159,1.54628,18323.7,0,0,700,353.827,25.9368,2,24.4756,12.4973,10.4973,8.66159,0,0,0,60.169,26.5491,2,11.9783
5700.4,124705,70.6867,-1.45127,-3.65316,7.77212,1.54628,18323.8,0,0,700,353.827,25.9368,2,24.4756,11.5654,9.56544,7.77212,0,0,0,60.1721,26.549,2,12.9102
5700.5,124707,70.6747,-1.45126,-3.68165,7.77277,1.54628,18324,0,0,700,353.827,25.9368,2,24.4756,11.5658,9.5658,7.77277,0,0,0,60.1753,26.5489,2,12.9098
5700.6,124709,70.6638,-1.45125,-3.71014,8.62574,1.54628,18324.1,0,0,700,353.827,25.9368,2,24.4756,12.4589,10.4589,8.62574,0,0,0,60.1782,26.5488,2,12.0167
5700.7,124711,70.6564,-1.45122,-3.73862,9.42405,1.54628,18324.3,0,0,700,353.827,25.9368,2,24.4756,13.2948,11.2948,9.42405,0,0,0,60.1809,26.5487,2,11.1808
5700.8,124713,70.6498,-1.4512,-3.76711,10.0171,1.54628,18324.4,0,0,700,353.827,25.9368,2,24.4756,13.9157,11.9157,10.0171,0,0,0,60.1835,26.5486,2,10.5599
5700.9,124715,70.6456,-1.45116,-3.79558,10.237,1.54628,18324.6,0,0,700,353.827,25.9368,2,24.4756,14.1459,12.1459,10.237,0,0,0,60.186,26.5485,2,10.3297
5701,124717,70.6402,-1.45111,-3.82406,9.6338,1.54628,18324.8,0,0,700,353.827,25.9368,2,24.4756,13.514,11.514,9.6338,0,0,0,60.1886,26.5483,2,10.9616
5701.1,124719,70.6327,-1.45106,-3.85253,8.74111,1.54628,18324.9,0,0,700,353.827,25.9368,2,24.4756,12.5789,10.5789,8.74111,0,0,0,60.1915,26.5482,2,11.8967
