vehicle,duty,case,component,kWh_min,kWh_median,kWh_max,mean_kW_max,peak_kW,roll120s_mean_kW_max,roll600s_mean_kW_max,split_exhaust_kWh_median,split_coolant_oil_kWh_median,split_cac_kWh_median,resistor_share_lower_bound_kWh_median,max_governing_case
V1,VOLT-SUB,cold_-10C,V1 generator + rectifier,0.5573,0.5788,0.6713,0.6903,,,,,,,,seed 3 of the enumerated 8-seed VOLT-SUB ensemble [cold_-10C]
V1,VOLT-SUB,cold_-10C,V1 traction chain (inverter+motor+reduction),1.4723,1.4827,1.4926,1.5394,,,,,,,,seed 8 of the enumerated 8-seed VOLT-SUB ensemble [cold_-10C]
V1,VOLT-SUB,cold_-10C,"V1 R15 blend overflow, LUMPED resistor + friction",0.2191,0.2675,0.3104,0.3205,,,,,,,0.0111,seed 5 of the enumerated 8-seed VOLT-SUB ensemble [cold_-10C]
ruler,VOLT-SUB,alt2000m_45C,ruler engine (fuel - shaft),24.6294,24.7227,24.7887,25.5891,128.4788,43.8499,36.7733,12.1141,9.3946,2.4723,,seed 5 of the enumerated 8-seed VOLT-SUB ensemble [alt2000m_45C]
ruler,VOLT-SUB,alt2000m_45C,ruler driveline + accessories (shaft - wheel),3.1456,3.1569,3.1741,3.2696,,,,,,,,seed 3 of the enumerated 8-seed VOLT-SUB ensemble [alt2000m_45C]
ruler,VOLT-SUB,alt2000m_45C,ruler friction brakes (all braking energy),3.5727,3.6302,3.6607,3.7756,,,,,,,,seed 8 of the enumerated 8-seed VOLT-SUB ensemble [alt2000m_45C]
V1,VOLT-SUB,alt2000m_45C,V1 genset engine (fuel - shaft),14.6364,15.6103,17.9273,18.5130,50.7376,50.7376,50.7376,7.6490,5.9319,1.5610,,seed 7 of the enumerated 8-seed VOLT-SUB ensemble [alt2000m_45C]
V1,VOLT-SUB,alt2000m_45C,V1 generator + rectifier,0.5156,0.5499,0.6315,0.6521,,,,,,,,seed 7 of the enumerated 8-seed VOLT-SUB ensemble [alt2000m_45C]
V1,VOLT-SUB,alt2000m_45C,V1 traction chain (inverter+motor+reduction),1.4257,1.4357,1.4458,1.4912,,,,,,,,seed 8 of the enumerated 8-seed VOLT-SUB ensemble [alt2000m_45C]
V1,VOLT-SUB,alt2000m_45C,"V1 R15 blend overflow, LUMPED resistor + friction",0.2232,0.2722,0.3153,0.3255,,,,,,,0.0000,seed 5 of the enumerated 8-seed VOLT-SUB ensemble [alt2000m_45C]
ruler,VOLT-REG,nominal,ruler engine (fuel - shaft),155.4183,155.9239,156.2454,85.6152,265.6240,260.7572,172.1426,76.4027,59.2511,15.5924,,seed 5 of the enumerated 8-seed VOLT-REG ensemble [nominal]
