# Project Volt WS11 - R34 10 Hz trace
# RULER (stock NPR-HD) / VOLT-REG / nominal / seed 23
# mass 6600 kg, payload 2900 kg, engine 4HK1-TC-ref-W, A465id 6-speed + 4.555 axle
t_s,v_kmh,grade_pct,P_wheel_kW,gear,lockup,N_eng_rpm,T_eng_Nm,P_shaft_eng_kW,fuel_g_per_s
5.1000,19.1776,0.2543,41.3573,2.0000,0.0000,1518.5654,355.6496,56.5567,3.4123
5.2000,19.5413,0.2544,42.0614,2.0000,0.0000,1536.2785,355.6211,57.2119,3.4548
5.3000,19.9042,0.2544,42.7574,2.0000,0.0000,1553.9818,355.5494,57.8595,3.4969
5.4000,20.2660,0.2545,43.4448,2.0000,1.0000,1297.1215,368.0721,49.9968,2.9787
5.5000,20.6269,0.2546,44.1235,2.0000,1.0000,1320.2185,367.0697,50.7485,3.0265
5.6000,20.9867,0.2546,44.7931,2.0000,1.0000,1343.2490,366.0498,51.4903,3.0740
5.7000,21.3455,0.2547,45.4535,2.0000,1.0000,1366.2109,365.0119,52.2220,3.1211
5.8000,21.7031,0.2548,46.1042,2.0000,1.0000,1389.1020,363.9552,52.9433,3.1679
5.9000,22.0596,0.2548,46.7452,2.0000,1.0000,1411.9201,362.8790,53.6538,3.2143
6.0000,22.4150,0.2549,47.3761,2.0000,1.0000,1434.6630,361.7829,54.3534,3.2603
6.1000,22.7691,0.2550,47.9966,2.0000,1.0000,1457.3285,360.6663,55.0417,3.3059
6.2000,23.1220,0.2551,48.6065,2.0000,1.0000,1479.9144,359.5287,55.7184,3.3511
6.3000,23.4736,0.2551,49.2056,2.0000,1.0000,1502.4184,358.3698,56.3834,3.3959
6.4000,23.8239,0.2552,49.7936,2.0000,1.0000,1524.8384,357.1890,57.0362,3.4403
6.5000,24.1728,0.2553,50.3702,2.0000,1.0000,1547.1721,355.9861,57.6767,3.4841
6.6000,24.5204,0.2554,50.9353,2.0000,1.0000,1569.4173,354.7608,58.3046,3.5276
6.7000,24.8665,0.2554,51.4886,2.0000,1.0000,1591.5717,353.5128,58.9196,3.5706
6.8000,25.2112,0.2555,52.0299,3.0000,1.0000,1103.1982,509.7553,58.8903,3.4062
6.9000,25.5544,0.2556,52.5590,3.0000,1.0000,1118.2159,507.8710,59.4713,3.4252
7.0000,25.8961,0.2557,53.0756,3.0000,1.0000,1133.1671,505.9529,60.0389,3.4518
7.1000,26.2362,0.2557,53.5796,3.0000,1.0000,1148.0502,504.0009,60.5928,3.4851
7.2000,26.5747,0.2558,54.0708,3.0000,1.0000,1162.8637,502.0147,61.1327,3.5177
7.3000,26.9116,0.2559,54.5489,3.0000,1.0000,1177.6061,499.9944,61.6586,3.5497
7.4000,27.2469,0.2560,55.0139,3.0000,1.0000,1192.2760,497.9398,62.1702,3.5809
7.5000,27.5804,0.2560,55.4655,3.0000,1.0000,1206.8718,495.8511,62.6673,3.6115
7.6000,27.9122,0.2561,55.9035,3.0000,1.0000,1221.3922,493.7283,63.1498,3.6413
7.7000,28.2423,0.2562,56.3279,3.0000,1.0000,1235.8357,491.5714,63.6174,3.6704
7.8000,28.5706,0.2563,56.7384,3.0000,1.0000,1250.2008,489.3808,64.0701,3.6988
7.9000,28.8971,0.2563,57.1350,3.0000,1.0000,1264.4862,487.1565,64.5076,3.7264
8.0000,29.2217,0.2564,57.5175,3.0000,1.0000,1278.6904,484.8989,64.9300,3.7533
8.1000,29.5444,0.2565,57.8859,3.0000,1.0000,1292.8120,482.6081,65.3369,3.7795
8.2000,29.8652,0.2566,58.2399,3.0000,1.0000,1306.8498,480.2846,65.7284,3.8048
8.3000,30.1841,0.2566,58.5796,3.0000,1.0000,1320.8024,477.9287,66.1043,3.8295
8.4000,30.5009,0.2567,58.9048,3.0000,1.0000,1334.6684,475.5408,66.4645,3.8533
8.5000,30.8158,0.2568,59.2154,3.0000,1.0000,1348.4466,473.1213,66.8090,3.8764
8.6000,31.1286,0.2569,59.5115,3.0000,1.0000,1362.1357,470.6708,67.1377,3.8988
8.7000,31.4394,0.2569,59.7930,3.0000,1.0000,1375.7344,468.1897,67.4505,3.9203
8.8000,31.7481,0.2570,60.0597,3.0000,1.0000,1389.2416,465.6786,67.7474,3.9411
8.9000,32.0546,0.2571,60.3118,3.0000,1.0000,1402.6560,463.1381,68.0284,3.9611
9.0000,32.3590,0.2572,60.5492,3.0000,1.0000,1415.9765,460.5687,68.2935,3.9803
9.1000,32.6613,0.2572,60.7718,3.0000,1.0000,1429.2020,457.9712,68.5426,3.9987
9.2000,32.9613,0.2573,60.9797,3.0000,1.0000,1442.3312,455.3462,68.7758,4.0163
9.3000,33.2591,0.2574,61.1730,3.0000,1.0000,1455.3632,452.6944,68.9930,4.0331
9.4000,33.5547,0.2574,61.3516,3.0000,1.0000,1468.2970,450.0165,69.1944,4.0492
9.5000,33.8480,0.2575,61.5156,3.0000,1.0000,1481.1314,447.3132,69.3799,4.0645
9.6000,34.1390,0.2576,61.6650,3.0000,1.0000,1493.8655,444.5854,69.5497,4.0789
