vehicle,duty,case,seed,ruler_kWh_per_km,cand_kWh_per_km,ruler_kWh_per_payload_tkm,cand_kWh_per_payload_tkm,margin_per_km_pct,margin_per_payload_pct
V2,VOLT-REG,payload_p20,4,1.93110137,1.80865623,0.55491419,0.51972880,6.340689,6.340689
V2,VOLT-REG,payload_p20,5,1.93696893,1.81288358,0.55660027,0.52094356,6.406161,6.406161
V2,VOLT-REG,payload_p20,6,1.92704357,1.80340554,0.55374815,0.51821998,6.415944,6.415944
V2,VOLT-REG,payload_p20,7,1.92933748,1.80655862,0.55440732,0.51912604,6.363783,6.363783
V2,VOLT-REG,payload_p20,8,1.93036469,1.80565707,0.55470250,0.51886697,6.460314,6.460314
V2,VOLT-REG,payload_p20,9,1.93214375,1.81089977,0.55521372,0.52037350,6.275101,6.275101
V2,VOLT-REG,payload_m20,23,1.82828644,1.68977404,0.78805450,0.72835088,7.576077,7.576077
V2,VOLT-REG,payload_m20,3,1.83911650,1.70648341,0.79272263,0.73555319,7.211783,7.211783
V2,VOLT-REG,payload_m20,4,1.83752561,1.70270303,0.79203690,0.73392372,7.337181,7.337181
V2,VOLT-REG,payload_m20,5,1.83933329,1.70571408,0.79281608,0.73522159,7.264546,7.264546
V2,VOLT-REG,payload_m20,6,1.82996962,1.69777749,0.78878001,0.73180064,7.223733,7.223733
V2,VOLT-REG,payload_m20,7,1.83233747,1.70009444,0.78980063,0.73279933,7.217176,7.217176
V2,VOLT-REG,payload_m20,8,1.83527691,1.69946324,0.79106763,0.73252726,7.400173,7.400173
V2,VOLT-REG,payload_m20,9,1.83855398,1.70475537,0.79248016,0.73480835,7.277383,7.277383
V2,VOLT-REG,cold_-10C,23,1.98793997,1.82480635,0.68549654,0.74148978,8.206164,-8.168274
V2,VOLT-REG,cold_-10C,3,2.00131725,1.84737152,0.69010940,0.75065889,7.692220,-8.773898
V2,VOLT-REG,cold_-10C,4,1.99838440,1.84249167,0.68909807,0.74867601,7.800938,-8.645786
V2,VOLT-REG,cold_-10C,5,2.00396714,1.84320407,0.69102315,0.74896549,8.022241,-8.385007
V2,VOLT-REG,cold_-10C,6,1.99229278,1.83454769,0.68699751,0.74544807,7.917766,-8.508118
V2,VOLT-REG,cold_-10C,7,1.99435216,1.84002208,0.68770764,0.74767252,7.738356,-8.719531
V2,VOLT-REG,cold_-10C,8,1.99690180,1.83711857,0.68858683,0.74649271,8.001557,-8.409381
V2,VOLT-REG,cold_-10C,9,1.99948042,1.84469016,0.68947601,0.74956935,7.741524,-8.715798
V2,VOLT-REG,alt2000m_45C,23,1.61352922,1.41315772,0.55638939,0.57422093,12.418213,-3.204868
V2,VOLT-REG,alt2000m_45C,3,1.62354051,1.42609014,0.55984156,0.57947588,12.161715,-3.507122
V2,VOLT-REG,alt2000m_45C,4,1.62041946,1.42227255,0.55876533,0.57792465,12.228124,-3.428866
V2,VOLT-REG,alt2000m_45C,5,1.62346501,1.42542616,0.55981552,0.57920608,12.198529,-3.463741
V2,VOLT-REG,alt2000m_45C,6,1.61787133,1.41828478,0.55788666,0.57630426,12.336367,-3.301314
V2,VOLT-REG,alt2000m_45C,7,1.61969706,1.42128119,0.55851623,0.57752182,12.250184,-3.402872
V2,VOLT-REG,alt2000m_45C,8,1.62004359,1.41938671,0.55863572,0.57675202,12.385894,-3.242953
V2,VOLT-REG,alt2000m_45C,9,1.62182214,1.42477777,0.55924901,0.57894261,12.149567,-3.521437
V2,VOLT-REG,climb_10km_6pct,23,2.10474051,1.95164744,0.72577259,0.79303025,7.273727,-9.267043
V2,VOLT-REG,climb_10km_6pct,3,2.11433223,1.96686341,0.72908008,0.79921309,6.974723,-9.619384
V2,VOLT-REG,climb_10km_6pct,4,2.11483577,1.96495733,0.72925371,0.79843857,7.087001,-9.487077
V2,VOLT-REG,climb_10km_6pct,5,2.11809065,1.97681949,0.73037609,0.80325863,6.669741,-9.978769
V2,VOLT-REG,climb_10km_6pct,6,2.10664811,1.96313055,0.72643038,0.79769628,6.812602,-9.810424
V2,VOLT-REG,climb_10km_6pct,7,2.10970780,1.96077171,0.72748545,0.79673779,7.059560,-9.519413
V2,VOLT-REG,climb_10km_6pct,8,2.11063692,1.96105535,0.72780584,0.79685305,7.087035,-9.487037
V2,VOLT-REG,climb_10km_6pct,9,2.11280014,1.96464820,0.72855177,0.79831296,7.012114,-9.575323
V2,VOLT-SUB,nominal,11,1.89773145,1.25689919,0.65439016,0.51072702,33.768332,21.953744
V2,VOLT-SUB,nominal,3,1.89799988,1.25565766,0.65448272,0.51022254,33.843112,22.041862
V2,VOLT-SUB,nominal,4,1.89607156,1.25084824,0.65381778,0.50826828,34.029481,22.261477
V2,VOLT-SUB,nominal,5,1.90084612,1.25983469,0.65546418,0.51191982,33.722426,21.899649
V2,VOLT-SUB,nominal,6,1.89147273,1.25038114,0.65223198,0.50807848,33.893779,22.101568
V2,VOLT-SUB,nominal,7,1.89068561,1.25610449,0.65196056,0.51040410,33.563545,21.712427
V2,VOLT-SUB,nominal,8,1.89815247,1.25316808,0.65453534,0.50921092,33.979588,22.202684
V2,VOLT-SUB,nominal,9,1.89109926,1.24715930,0.65210319,0.50676932,34.051092,22.286943
V2,VOLT-SUB,payload_p20,11,1.97823520,1.38444967,0.56845839,0.39783037,30.015922,30.015922
V2,VOLT-SUB,payload_p20,3,1.97842964,1.37523270,0.56851427,0.39518181,30.488673,30.488673
V2,VOLT-SUB,payload_p20,4,1.97686254,1.36804640,0.56806395,0.39311678,30.797090,30.797090
V2,VOLT-SUB,payload_p20,5,1.98143633,1.37853017,0.56937826,0.39612936,30.427734,30.427734
V2,VOLT-SUB,payload_p20,6,1.97225602,1.36818959,0.56674023,0.39315793,30.628195,30.628195
V2,VOLT-SUB,payload_p20,7,1.97108660,1.37980628,0.56640419,0.39649606,29.997683,29.997683
V2,VOLT-SUB,payload_p20,8,1.97966893,1.37267941,0.56887038,0.39444811,30.661163,30.661163
V2,VOLT-SUB,payload_p20,9,1.97093327,1.36160355,0.56636013,0.39126539,30.915797,30.915797
V2,VOLT-SUB,payload_m20,11,1.81792475,1.24073738,0.78358826,0.53480059,31.749795,31.749795
V2,VOLT-SUB,payload_m20,3,1.81794641,1.23995531,0.78359759,0.53446350,31.793627,31.793627
V2,VOLT-SUB,payload_m20,4,1.81552586,1.23553372,0.78255425,0.53255764,31.946234,31.946234
V2,VOLT-SUB,payload_m20,5,1.82061926,1.24336149,0.78474968,0.53593168,31.706671,31.706671
V2,VOLT-SUB,payload_m20,6,1.81148332,1.23486181,0.78081178,0.53226802,31.831456,31.831456
V2,VOLT-SUB,payload_m20,7,1.81070837,1.24023785,0.78047775,0.53458528,31.505378,31.505378
V2,VOLT-SUB,payload_m20,8,1.81743846,1.23713810,0.78337865,0.53324918,31.929574,31.929574
V2,VOLT-SUB,payload_m20,9,1.81152571,1.23210484,0.78083005,0.53107967,31.985241,31.985241
V2,VOLT-SUB,cold_-10C,11,1.92743420,1.29452531,0.66463248,0.52601597,32.836861,20.856114
V2,VOLT-SUB,cold_-10C,3,1.92760652,1.28990350,0.66469190,0.52413795,33.082635,21.145730
V2,VOLT-SUB,cold_-10C,4,1.92585391,1.28628625,0.66408756,0.52266812,33.209563,21.295299
V2,VOLT-SUB,cold_-10C,5,1.93059830,1.29352774,0.66572355,0.52561062,32.998608,21.046714
V2,VOLT-SUB,cold_-10C,6,1.92132100,1.28365821,0.66252448,0.52160025,33.188769,21.270796
