# Project Volt WS11 - R34 10 Hz trace
# RULER (stock NPR-HD) / VOLT-SUB / nominal / seed 11
# mass 6600 kg, payload 2900 kg, engine 4HK1-TC-ref-W, A465id 6-speed + 4.555 axle
t_s,v_kmh,grade_pct,P_wheel_kW,gear,lockup,N_eng_rpm,T_eng_Nm,P_shaft_eng_kW,fuel_g_per_s
5.1000,20.0880,0.0000,44.4950,2.0000,1.0000,1285.7268,379.7397,51.1285,3.0337
5.2000,20.4712,0.0000,45.2728,2.0000,1.0000,1310.2497,378.9012,51.9887,3.0876
5.3000,20.8535,0.0000,46.0431,2.0000,1.0000,1334.7196,378.0505,52.8407,3.1413
5.4000,21.2349,0.0000,46.8058,2.0000,1.0000,1359.1347,377.1867,53.6843,3.1948
5.5000,21.6155,0.0000,47.5604,2.0000,1.0000,1383.4930,376.3090,54.5193,3.2480
5.6000,21.9952,0.0000,48.3069,2.0000,1.0000,1407.7927,375.4165,55.3453,3.3009
5.7000,22.3739,0.0000,49.0448,2.0000,1.0000,1432.0317,374.5086,56.1621,3.3536
5.8000,22.7516,0.0000,49.7741,2.0000,1.0000,1456.2081,373.5845,56.9693,3.4060
5.9000,23.1283,0.0000,50.4943,2.0000,1.0000,1480.3200,372.6436,57.7667,3.4582
6.0000,23.5040,0.0000,51.2053,2.0000,1.0000,1504.3653,371.6854,58.5541,3.5100
6.1000,23.8786,0.0000,51.8599,2.0000,1.0000,1528.3420,370.3912,59.2802,3.5589
6.2000,24.2514,0.0000,52.3764,2.0000,1.0000,1552.2006,368.2428,59.8564,3.6002
6.3000,24.6210,0.0000,52.7202,2.0000,1.0000,1575.8618,365.0695,60.2452,3.6319
6.4000,24.9865,0.0000,52.8906,2.0000,1.0000,1599.2505,360.9274,60.4456,3.6540
6.5000,25.3465,0.0000,52.8871,3.0000,1.0000,1109.1207,515.0327,59.8194,3.4631
6.6000,25.7002,0.0000,52.7604,3.0000,1.0000,1124.5957,506.8716,59.6929,3.4317
6.7000,26.0472,0.0000,52.5976,3.0000,1.0000,1139.7792,498.7318,59.5273,3.4268
6.8000,26.3878,0.0000,52.4348,3.0000,1.0000,1154.6829,490.9243,59.3616,3.4224
6.9000,26.7222,0.0000,52.2722,3.0000,1.0000,1169.3179,483.4264,59.1959,3.4180
7.0000,27.0507,0.0000,52.1097,3.0000,1.0000,1183.6943,476.2173,59.0301,3.4137
7.1000,27.3736,0.0000,51.9473,3.0000,1.0000,1197.8217,469.2781,58.8642,3.4093
7.2000,27.6910,0.0000,51.7849,3.0000,1.0000,1211.7089,462.5919,58.6982,3.4050
7.3000,28.0030,0.0000,51.6227,3.0000,1.0000,1225.3644,456.1430,58.5322,3.4007
7.4000,28.3100,0.0000,51.4605,3.0000,1.0000,1238.7961,449.9172,58.3662,3.3964
7.5000,28.6120,0.0000,51.2985,3.0000,1.0000,1252.0112,443.9016,58.2001,3.3921
7.6000,28.9092,0.0000,51.1366,3.0000,1.0000,1265.0168,438.0840,58.0340,3.3878
7.7000,29.2018,0.0000,50.9748,3.0000,1.0000,1277.8196,432.4536,57.8679,3.3835
7.8000,29.4899,0.0000,50.8131,3.0000,1.0000,1290.4257,427.0002,57.7018,3.3793
7.9000,29.7736,0.0000,50.6516,3.0000,1.0000,1302.8410,421.7143,57.5358,3.3750
8.0000,30.0531,0.0000,50.4903,3.0000,1.0000,1315.0711,416.5874,57.3699,3.3708
8.1000,30.3285,0.0000,50.3292,3.0000,1.0000,1327.1213,411.6114,57.2040,3.3665
8.2000,30.5998,0.0000,50.1683,3.0000,1.0000,1338.9968,406.7788,57.0383,3.3623
8.3000,30.8673,0.0000,50.0076,3.0000,1.0000,1350.7022,402.0827,56.8727,3.3581
8.4000,31.1311,0.0000,49.8472,3.0000,1.0000,1362.2421,397.5167,56.7072,3.3539
8.5000,31.3911,0.0000,49.6870,3.0000,1.0000,1373.6210,393.0746,56.5419,3.3497
8.6000,31.6476,0.0000,49.5271,3.0000,1.0000,1384.8429,388.7510,56.3768,3.3455
8.7000,31.9005,0.0000,49.3675,3.0000,1.0000,1395.9119,384.5404,56.2120,3.3413
8.8000,32.1501,0.0000,49.2082,3.0000,1.0000,1406.8318,380.4381,56.0473,3.3372
8.9000,32.3963,0.0000,49.0493,3.0000,1.0000,1417.6062,376.4392,55.8829,3.3330
9.0000,32.6393,0.0000,48.8906,3.0000,1.0000,1428.2386,372.5397,55.7188,3.3289
9.1000,32.8791,0.0000,48.7324,3.0000,1.0000,1438.7323,368.7352,55.5550,3.3247
9.2000,33.1158,0.0000,48.5745,3.0000,1.0000,1449.0906,365.0220,55.3915,3.3206
9.3000,33.3495,0.0000,48.4170,3.0000,1.0000,1459.3166,361.3965,55.2284,3.3165
9.4000,33.5802,0.0000,48.2599,3.0000,1.0000,1469.4131,357.8553,55.0655,3.3124
9.5000,33.8081,0.0000,48.1032,4.0000,1.0000,1104.0173,465.8864,53.8623,3.1192
9.6000,34.0331,0.0000,47.9470,4.0000,1.0000,1111.3652,461.4215,53.7011,3.1128
9.7000,34.2553,0.0000,47.7912,4.0000,1.0000,1118.6227,457.0558,53.5404,3.1064
9.8000,34.4749,0.0000,47.6359,4.0000,1.0000,1125.7918,452.7856,53.3801,3.1001
9.9000,34.6917,0.0000,47.4811,4.0000,1.0000,1132.8742,448.6076,53.2202,3.0937
10.0000,34.9060,0.0000,47.3268,4.0000,1.0000,1139.8716,444.5184,53.0609,3.0874
10.1000,35.1178,0.0000,47.1729,4.0000,1.0000,1146.7860,440.5152,52.9020,3.0811
10.2000,35.3270,0.0000,47.0196,4.0000,1.0000,1153.6187,436.5948,52.7436,3.0748
10.3000,35.5338,0.0000,46.8668,4.0000,1.0000,1160.3716,432.7546,52.5857,3.0686
10.4000,35.7382,0.0000,46.7145,4.0000,1.0000,1167.0461,428.9919,52.4283,3.0624
10.5000,35.9402,0.0000,46.5628,4.0000,1.0000,1173.6437,425.3041,52.2714,3.0562
10.6000,36.1399,0.0000,46.4117,4.0000,1.0000,1180.1659,421.6890,52.1151,3.0500
10.7000,36.3374,0.0000,46.2611,4.0000,1.0000,1186.6140,418.1441,51.9594,3.0439
10.8000,36.5326,0.0000,46.1111,4.0000,1.0000,1192.9895,414.6674,51.8042,3.0378
10.9000,36.7257,0.0000,45.9617,4.0000,1.0000,1199.2936,411.2567,51.6496,3.0317
11.0000,36.9166,0.0000,45.8129,4.0000,1.0000,1205.5277,407.9100,51.4956,3.0256
11.1000,37.1054,0.0000,45.6647,4.0000,1.0000,1211.6930,404.6255,51.3422,3.0196
11.2000,37.2921,0.0000,45.5171,4.0000,1.0000,1217.7907,401.4013,51.1894,3.0136
11.3000,37.4768,0.0000,45.3701,4.0000,1.0000,1223.8219,398.2357,51.0372,3.0076
11.4000,37.6595,0.0000,45.2238,4.0000,1.0000,1229.7878,395.1269,50.8857,3.0016
11.5000,37.8402,0.0000,45.0781,4.0000,1.0000,1235.6895,392.0735,50.7347,2.9957
11.6000,38.0190,0.0000,44.9330,4.0000,1.0000,1241.5282,389.0738,50.5845,2.9898
11.7000,38.1959,0.0000,44.7886,4.0000,1.0000,1247.3047,386.1264,50.4348,2.9840
11.8000,38.3710,0.0000,44.6449,4.0000,1.0000,1253.0203,383.2298,50.2859,2.9781
11.9000,38.5441,0.0000,44.5018,4.0000,1.0000,1258.6758,380.3827,50.1376,2.9723
12.0000,38.7155,0.0000,44.3594,4.0000,1.0000,1264.2722,377.5839,49.9899,2.9666
12.1000,38.8851,0.0000,44.2176,4.0000,1.0000,1269.8105,374.8319,49.8430,2.9608
12.2000,39.0530,0.0000,44.0766,4.0000,1.0000,1275.2916,372.1257,49.6967,2.9551
12.3000,39.2191,0.0000,43.9362,4.0000,1.0000,1280.7163,369.4640,49.5512,2.9494
12.4000,39.3835,0.0000,43.7965,4.0000,1.0000,1286.0857,366.8458,49.4063,2.9438
12.5000,39.5463,0.0000,43.6576,4.0000,1.0000,1291.4004,364.2699,49.2621,2.9382
12.6000,39.7074,0.0000,43.5193,4.0000,1.0000,1296.6614,361.7353,49.1186,2.9326
12.7000,39.8668,0.0000,43.3817,4.0000,1.0000,1301.8695,359.2411,48.9759,2.9270
12.8000,40.0247,0.0000,43.2448,4.0000,1.0000,1307.0254,356.7861,48.8338,2.9215
12.9000,40.1811,0.0000,43.1086,4.0000,1.0000,1312.1300,354.3696,48.6925,2.9160
13.0000,40.3358,0.0000,42.9732,4.0000,1.0000,1317.1839,351.9905,48.5519,2.9105
13.1000,40.4891,0.0000,42.8384,4.0000,1.0000,1322.1880,349.6480,48.4120,2.9051
13.2000,40.6408,0.0000,42.7044,4.0000,1.0000,1327.1429,347.3413,48.2728,2.8997
13.3000,40.7910,0.0000,42.5711,4.0000,1.0000,1332.0494,345.0696,48.1344,2.8943
13.4000,40.9398,0.0000,42.4385,4.0000,1.0000,1336.9082,342.8320,47.9967,2.8890
13.5000,41.0872,0.0000,42.3066,4.0000,1.0000,1341.7199,340.6278,47.8598,2.8837
13.6000,41.2331,0.0000,42.1754,4.0000,1.0000,1346.4852,338.4563,47.7236,2.8784
13.7000,41.3776,0.0000,42.0450,4.0000,1.0000,1351.2047,336.3167,47.5881,2.8732
13.8000,41.5208,0.0000,41.9153,4.0000,1.0000,1355.8791,334.2084,47.4534,2.8679
13.9000,41.6626,0.0000,41.7864,4.0000,1.0000,1360.5090,332.1306,47.3194,2.8628
14.0000,41.8030,0.0000,41.6581,4.0000,1.0000,1365.0951,330.0828,47.1861,2.8576
14.1000,41.9421,0.0000,41.5306,4.0000,1.0000,1369.6378,328.0642,47.0536,2.8525
14.2000,42.0799,0.0000,41.4038,4.0000,1.0000,1374.1378,326.0744,46.9219,2.8474
14.3000,42.2164,0.0000,41.2778,4.0000,1.0000,1378.5957,324.1126,46.7909,2.8423
14.4000,42.3517,0.0000,41.1525,4.0000,1.0000,1383.0120,322.1783,46.6607,2.8373
14.5000,42.4856,0.0000,41.0279,4.0000,1.0000,1387.3873,320.2710,46.5312,2.8323
14.6000,42.6184,0.0000,40.9040,4.0000,1.0000,1391.7220,318.3900,46.4024,2.8274
14.7000,42.7499,0.0000,40.7809,4.0000,1.0000,1396.0169,316.5350,46.2744,2.8224
14.8000,42.8802,0.0000,40.6585,4.0000,1.0000,1400.2722,314.7053,46.1472,2.8176
14.9000,43.0093,0.0000,40.5369,4.0000,1.0000,1404.4887,312.9004,46.0207,2.8127
15.0000,43.1373,0.0000,40.4159,4.0000,1.0000,1408.6667,311.1200,45.8949,2.8079
15.1000,43.2641,0.0000,40.2957,4.0000,1.0000,1412.8067,309.3634,45.7699,2.8031
15.2000,43.3897,0.0000,40.1763,4.0000,1.0000,1416.9093,307.6303,45.6457,2.7988
15.3000,43.5142,0.0000,40.0575,4.0000,1.0000,1420.9749,305.9202,45.5222,2.7949
15.4000,43.6376,0.0000,39.9395,4.0000,1.0000,1425.0040,304.2326,45.3994,2.7910
15.5000,43.7598,0.0000,39.8222,5.0000,1.0000,1100.3277,398.6557,45.9355,2.7016
15.6000,43.8810,0.0000,39.7056,5.0000,1.0000,1103.3748,396.4778,45.8111,2.6960
15.7000,44.0011,0.0000,39.5898,5.0000,1.0000,1106.3949,394.3282,45.6874,2.6904
15.8000,44.1202,0.0000,39.4746,5.0000,1.0000,1109.3882,392.2063,45.5645,2.6848
15.9000,44.2382,0.0000,39.3602,5.0000,1.0000,1112.3551,390.1116,45.4424,2.6792
16.0000,44.3551,0.0000,39.2465,5.0000,1.0000,1115.2958,388.0437,45.3210,2.6737
16.1000,44.4711,0.0000,39.1336,5.0000,1.0000,1118.2107,386.0021,45.2004,2.6683
16.2000,44.5860,0.0000,39.0213,5.0000,1.0000,1121.1002,383.9863,45.0805,2.6628
16.3000,44.6999,0.0000,38.9097,5.0000,1.0000,1123.9644,381.9958,44.9614,2.6574
16.4000,44.8128,0.0000,38.7989,5.0000,1.0000,1126.8037,380.0302,44.8430,2.6521
16.5000,44.9247,0.0000,38.6888,5.0000,1.0000,1129.6185,378.0890,44.7254,2.6467
16.6000,45.0357,0.0000,38.5793,5.0000,1.0000,1132.4089,376.1719,44.6086,2.6414
16.7000,45.1457,0.0000,38.4706,5.0000,1.0000,1135.1753,374.2785,44.4925,2.6362
16.8000,45.2548,0.0000,38.3626,5.0000,1.0000,1137.9180,372.4082,44.3771,2.6310
16.9000,45.3629,0.0000,38.2553,5.0000,1.0000,1140.6371,370.5608,44.2625,2.6258
17.0000,45.4702,0.0000,38.1486,5.0000,1.0000,1143.3331,368.7358,44.1486,2.6206
17.1000,45.5765,0.0000,38.0427,5.0000,1.0000,1146.0061,366.9329,44.0354,2.6155
17.2000,45.6819,0.0000,37.9374,5.0000,1.0000,1148.6565,365.1517,43.9230,2.6105
17.3000,45.7864,0.0000,37.8329,5.0000,1.0000,1151.2844,363.3919,43.8113,2.6054
17.4000,45.8900,0.0000,37.7290,5.0000,1.0000,1153.8902,361.6530,43.7004,2.6004
17.5000,45.9928,0.0000,37.6258,5.0000,1.0000,1156.4740,359.9348,43.5902,2.5954
17.6000,46.0947,0.0000,37.5233,5.0000,1.0000,1159.0362,358.2370,43.4806,2.5905
17.7000,46.1957,0.0000,37.4215,5.0000,1.0000,1161.5770,356.5591,43.3719,2.5856
17.8000,46.2959,0.0000,38.4551,5.0000,1.0000,1164.0965,364.9995,44.4949,2.6453
17.9000,46.4045,0.0000,40.6615,5.0000,1.0000,1166.8279,383.7498,46.8904,2.7718
18.0000,46.5218,0.0000,42.9295,5.0000,1.0000,1169.7753,402.8853,49.3529,2.9019
18.1000,46.6477,0.0000,45.1197,5.0000,1.0000,1172.9430,421.1588,51.7311,3.0276
18.2000,46.7815,0.0000,47.0766,5.0000,1.0000,1176.3065,437.2069,53.8562,3.1401
18.3000,46.9220,0.0000,47.6408,5.0000,1.0000,1179.8387,440.8717,54.4708,3.1734
18.4000,47.0589,0.0000,46.7805,5.0000,1.0000,1183.2811,432.0751,53.5397,3.1257
18.5000,47.1911,0.0000,45.6314,5.0000,1.0000,1186.6051,420.8500,52.2952,3.0615
18.6000,47.3175,0.0000,44.3455,5.0000,1.0000,1189.7834,408.5469,50.9024,2.9895
18.7000,47.4382,0.0000,43.0910,5.0000,1.0000,1192.8187,396.6279,49.5435,2.9192
18.8000,47.5535,0.0000,41.8865,5.0000,1.0000,1195.7174,385.2461,48.2387,2.8517
18.9000,47.6636,0.0000,40.7304,5.0000,1.0000,1198.4857,374.3772,46.9863,2.7870
19.0000,47.7687,0.0000,39.6209,5.0000,1.0000,1201.1294,363.9980,45.7844,2.7249
19.1000,47.8691,0.0000,38.5370,5.0000,1.0000,1203.6541,353.9186,44.6101,2.6642
19.2000,47.9649,0.0000,37.4972,5.0000,1.0000,1206.0613,344.2930,43.4837,2.6059
19.3000,48.0563,0.0000,36.5196,5.0000,1.0000,1208.3602,335.2690,42.4247,2.5512
19.4000,48.1436,0.0000,35.5823,5.0000,1.0000,1210.5557,326.6515,41.4093,2.4988
19.5000,48.2270,0.0000,34.6839,5.0000,1.0000,1212.6524,318.4222,40.4360,2.4485
19.6000,48.3066,0.0000,33.8019,5.0000,1.0000,1214.6547,310.3849,39.4804,2.3991
19.7000,48.3825,0.0000,32.9515,5.0000,1.0000,1216.5628,302.6671,38.5592,2.3515
19.8000,48.4549,0.0000,32.1579,5.0000,1.0000,1218.3841,295.4756,37.6994,2.3071
19.9000,48.5241,0.0000,31.4025,5.0000,1.0000,1220.1234,288.6502,36.8811,2.2648
20.0000,48.5902,0.0000,30.6791,5.0000,1.0000,1221.7844,282.1322,36.0974,2.2259
20.1000,48.6532,0.0000,30.0272,5.0000,1.0000,1223.3707,276.2544,35.3913,2.1918
20.2000,48.7138,0.0000,29.4083,5.0000,1.0000,1224.8936,270.6842,34.7208,2.1593
20.3000,48.7717,0.0000,28.7747,5.0000,1.0000,1226.3489,265.0182,34.0344,2.1259
