t_s,x_m,v_kmh,grade_pct,z_m,P_wheel_kW,fuel_g_per_s,fuel_cum_g,P_friction_brake_kW,trip_time_flag,N_eng_rpm,T_eng_Nm,P_shaft_eng_kW,engine_state,P_gen_bus_kW,P_bus_load_kW,P_motor_bus_kW,P_motor_mech_kW,P_regen_pack_kW,P_heater_kW,P_resistor_kW,soc_pct,T_pack_C,genset_state,P_batt_bus_kW
33,351.006,49.9935,0,0,14.921,0,0,0,0,0,0,0,0,0,18.6157,16.6157,14.921,0,0,0,51.939,25.1986,0,-18.6157
34,364.894,49.9959,0,0,14.8929,0,0,0,0,0,0,0,0,0,18.586,16.586,14.8929,0,0,0,51.8909,25.1997,0,-18.586
35,378.782,49.9974,0,0,14.8751,0,0,0,0,0,0,0,0,0,18.5673,16.5673,14.8751,0,0,0,51.8429,25.2009,0,-18.5673
36,392.67,49.9984,0,0,14.8639,0,0,0,0,0,0,0,0,0,18.5554,16.5554,14.8639,0,0,0,51.795,25.202,0,-18.5554
37,406.559,49.999,0,0,14.8569,0,0,0,0,0,0,0,0,0,18.548,16.548,14.8569,0,0,0,51.7471,25.2031,0,-18.548
38,420.447,49.9993,0,0,14.8524,0,0,0,0,0,0,0,0,0,18.5433,16.5433,14.8524,0,0,0,51.6991,25.2042,0,-18.5433
39,434.336,49.9996,0,0,14.8496,0,0,0,0,0,0,0,0,0,18.5403,16.5403,14.8496,0,0,0,51.6512,25.2053,0,-18.5403
40,448.225,49.9997,0,0,14.8478,0,0,0,0,0,0,0,0,0,18.5384,16.5384,14.8478,0,0,0,51.6033,25.2064,0,-18.5384
41,462.114,49.9998,0,0,14.8467,0,0,0,0,0,0,0,0,0,18.5372,16.5372,14.8467,0,0,0,51.5554,25.2075,0,-18.5372
42,476.003,49.9999,0,0,14.846,0,0,0,0,0,0,0,0,0,18.5365,16.5365,14.846,0,0,0,51.5075,25.2087,0,-18.5365
43,489.891,49.9999,0,0,14.8456,0,0,0,0,0,0,0,0,0,18.536,16.536,14.8456,0,0,0,51.4597,25.2098,0,-18.536
44,503.78,50,0,0,14.8453,0,0,0,0,0,0,0,0,0,18.5357,16.5357,14.8453,0,0,0,51.4118,25.2109,0,-18.5357
45,517.669,50,0,0,14.8451,0,0,0,0,0,0,0,0,0,18.5355,16.5355,14.8451,0,0,0,51.3639,25.212,0,-18.5355
46,531.558,50,0,0,14.845,0,0,0,0,0,0,0,0,0,18.5354,16.5354,14.845,0,0,0,51.316,25.2131,0,-18.5354
47,545.447,50,0,0,14.8449,0,0,0,0,0,0,0,0,0,18.5353,16.5353,14.8449,0,0,0,51.2681,25.2142,0,-18.5353
48,559.336,50,0,0,14.8449,0,0,0,0,0,0,0,0,0,18.5353,16.5353,14.8449,0,0,0,51.2202,25.2153,0,-18.5353
49,573.225,50,0,0,14.8448,0,0,0,0,0,0,0,0,0,18.5352,16.5352,14.8448,0,0,0,51.1723,25.2164,0,-18.5352
50,587.114,50,0,0,14.8448,0,0,0,0,0,0,0,0,0,18.5352,16.5352,14.8448,0,0,0,51.1244,25.2175,0,-18.5352
51,601.002,50,0,0,14.8448,0,0,0,0,0,0,0,0,0,18.5352,16.5352,14.8448,0,0,0,51.0765,25.2186,0,-18.5352
52,614.891,50,0,0,14.8448,0,0,0,0,0,0,0,0,0,18.5352,16.5352,14.8448,0,0,0,51.0286,25.2197,0,-18.5352
53,628.78,50,0,0,14.8448,0,0,0,0,0,0,0,0,0,18.5352,16.5352,14.8448,0,0,0,50.9808,25.2208,0,-18.5352
54,642.669,50,0,0,14.8448,0,0,0,0,0,0,0,0,0,18.5352,16.5352,14.8448,0,0,0,50.9329,25.2219,0,-18.5352
55,656.558,50,0,0,14.8448,0,0,0,0,0,0,0,0,0,18.5352,16.5352,14.8448,0,0,0,50.885,25.223,0,-18.5352
56,670.447,50,0,0,14.8448,0,0,0,0,0,0,0,0,0,18.5352,16.5352,14.8448,0,0,0,50.8371,25.2241,0,-18.5352
57,684.334,49.9866,0,0,14.8468,0,0,0,0,0,0,0,0,0,18.5371,16.5371,14.8468,0,0,0,50.7902,25.2251,0,-18.5371
58,698.22,49.9835,0,0,14.746,0,0,0,0,0,0,0,0,0,18.4304,16.4304,14.746,0,0,0,50.7425,25.2262,0,-18.4304
59,712.102,49.9385,0,0,10.8569,0,0,0,0,0,0,0,0,0,14.3129,12.3129,10.8569,0,0,0,50.6985,25.2271,0,-14.3129
60,725.96,49.8717,0,0,14.7281,0,0,0,0,0,0,0,0,0,18.4095,16.4095,14.7281,0,0,0,50.6551,25.228,0,-18.4095
61,739.817,49.9072,0,0,15.9217,0,0,0,0,0,0,0,0,0,19.6737,17.6737,15.9217,0,0,0,50.6046,25.2292,0,-19.6737
62,753.685,49.9415,0,0,15.5248,0,0,0,0,0,0,0,0,0,19.2541,17.2541,15.5248,0,0,0,50.5544,25.2304,0,-19.2541
63,767.561,49.9631,0,0,15.2741,0,0,0,0,0,0,0,0,0,18.989,16.989,15.2741,0,0,0,50.5051,25.2316,0,-18.989
64,781.442,49.9767,0,0,15.1157,0,0,0,0,0,0,0,0,0,18.8216,16.8216,15.1157,0,0,0,50.4563,25.2327,0,-18.8216
65,795.325,49.9853,0,0,15.0158,0,0,0,0,0,0,0,0,0,18.716,16.716,15.0158,0,0,0,50.4078,25.2339,0,-18.716
66,809.21,49.9844,0,0,14.7783,0,0,0,0,0,0,0,0,0,18.4645,16.4645,14.7783,0,0,0,50.36,25.2349,0,-18.4645
67,823.095,49.9803,0,0,14.1075,0,0,0,0,0,0,0,0,0,17.7544,15.7544,14.1075,0,0,0,50.3126,25.236,0,-17.7544
68,836.966,49.8885,0,0,13.4076,0,0,0,0,0,0,0,0,0,17.0118,15.0118,13.4076,0,0,0,50.2715,25.2367,0,-17.0118
69,850.82,49.8725,0,0,15.7301,0,0,0,0,0,0,0,0,0,19.4703,17.4703,15.7301,0,0,0,50.2246,25.2378,0,-19.4703
70,864.68,49.9172,0,0,15.8058,0,0,0,0,0,0,0,0,0,19.5511,17.5511,15.8058,0,0,0,50.1737,25.239,0,-19.5511
71,878.551,49.9478,0,0,15.4516,0,0,0,0,0,0,0,0,0,19.1767,17.1767,15.4516,0,0,0,50.1238,25.2402,0,-19.1767
72,892.428,49.967,0,0,15.2278,0,0,0,0,0,0,0,0,0,18.9401,16.9401,15.2278,0,0,0,50.0746,25.2414,0,-18.9401
73,906.309,49.9792,0,0,15.0865,0,0,0,0,0,0,0,0,0,18.7908,16.7908,15.0865,0,0,0,50.0259,25.2425,0,-18.7908
74,920.194,49.9869,0,0,14.9974,0,0,0,0,0,0,0,0,0,18.6965,16.6965,14.9974,0,0,0,49.9775,25.2436,0,-18.6965
75,934.08,49.9917,0,0,14.9411,0,0,0,0,0,0,0,0,0,18.637,16.637,14.9411,0,0,0,49.9292,25.2447,0,-18.637
76,947.967,49.9948,0,0,14.9056,0,0,0,0,0,0,0,0,0,18.5994,16.5994,14.9056,0,0,0,49.8811,25.2458,0,-18.5994
77,961.854,49.9967,0,0,14.8831,0,0,0,0,0,0,0,0,0,18.5757,16.5757,14.8831,0,0,0,49.8331,25.2469,0,-18.5757
78,975.738,49.9317,0,0,10.3991,0,0,0,0,0,0,0,0,0,13.8321,11.8321,10.3991,0,0,0,49.7906,25.2477,0,-13.8321
79,989.586,49.772,0,0,9.83314,0,0,0,0,0,0,0,0,0,13.2346,11.2346,9.83314,0,0,0,49.7545,25.2482,0,-13.2346
80,1003.39,49.631,0,0,14.2193,0,0,0,0,0,0,0,0,0,17.8667,15.8667,14.2193,0,0,0,49.7167,25.2487,0,-17.8667
81,1017.17,49.5338,0,0,11.2637,0,0,0,0,0,0,0,0,0,14.7358,12.7358,11.2637,0,0,0,49.6768,25.2494,0,-14.7358
82,1030.91,49.4254,0,0,12.5888,0,0,0,0,0,0,0,0,0,16.1368,14.1368,12.5888,0,0,0,49.6373,25.2501,0,-16.1368
83,1044.64,49.4074,0,0,14.0542,0,0,0,0,0,0,0,0,0,17.688,15.688,14.0542,0,0,0,49.5914,25.251,0,-17.688
84,1058.37,49.5445,0,0,20.0938,0,0,0,0,0,0,0,0,0,24.1131,22.1131,20.0938,0,0,0,49.5337,25.2527,0,-24.1131
85,1072.16,49.7126,0,0,18.1684,0,0,0,0,0,0,0,0,0,22.0627,20.0627,18.1684,0,0,0,49.4746,25.2545,0,-22.0627
86,1085.99,49.8092,0,0,17.0364,0,0,0,0,0,0,0,0,0,20.8573,18.8573,17.0364,0,0,0,49.4202,25.256,0,-20.8573
87,1099.83,49.8796,0,0,16.2414,0,0,0,0,0,0,0,0,0,20.0116,18.0116,16.2414,0,0,0,49.3676,25.2573,0,-20.0116
88,1113.69,49.924,0,0,15.7268,0,0,0,0,0,0,0,0,0,19.4677,17.4677,15.7268,0,0,0,49.3167,25.2585,0,-19.4677
