corner,candidate,cycle,seed,distance_km,duration_s,avg_speed_kmh,power_limited_frac,payload_kg,gcw_kg,fuel_g_raw,fuel_g_corrected,fuel_L_per_100km,MJ_per_km,MJ_per_payload_tkm,unserved_kWh,charge_deficit_kWh,fuel_g_charge_correction_signed,correction_share,correction_eta_fuel_to_bus,e_spin_kWh,e_spin_coast_bracket_kWh,e_resistor_kWh,e_engine_brake_kWh,e_friction_brake_kWh,resistor_peak_kW,engine_brake_peak_kW
nominal,S1,REG-165,8101,165,9490,62.5922,0.0472914,19397.7,36300,42211.4,42752.9,31.1429,11.0898,0.571709,0,2.67861,541.544,0.0126668,0.416039,0.00145945,11.209,7.54903,0,0.310786,314.422,0
nominal,S1,REG-165,8102,165.001,9372.2,63.3792,0.0478324,19397.7,36300,48642.9,48991.6,35.6872,12.7081,0.655132,0,1.72935,348.668,0.00711691,0.417184,0.00114803,11.204,5.57179,0,0.349305,314.317,0
nominal,S1,REG-165,8103,165,9481.6,62.6477,0.0558761,19397.7,36300,47051.5,47887.1,34.8828,12.4216,0.640365,0,4.13557,835.63,0.01745,0.416274,0.0019347,11.173,6.17696,0,0.163035,313.938,0
nominal,S1,REG-165,8104,165.001,9427.2,63.0095,0.0437135,19397.7,36300,41082.7,41819.3,30.4626,10.8476,0.559221,0,3.62958,736.543,0.0176125,0.414493,0.00127139,11.2396,6.90815,0,0.492449,314.394,0
nominal,S1,REG-165,8105,165.001,9231.6,64.3445,0.0537604,19397.7,36300,37913,38960.2,28.38,10.106,0.520988,0,5.18391,1047.14,0.0268772,0.4164,0.00131829,11.2136,7.84158,0,0.274786,314.228,0
nominal,S1,REG-165,8106,165.001,9670.2,61.4262,0.0371136,19397.7,36300,43210.2,43754.8,31.8724,11.3497,0.585102,0,2.69241,544.562,0.0124458,0.415865,0.00131746,11.1632,7.18799,0,0.676697,314.292,0
nominal,S1,REG-165,8107,165,9358.3,63.4731,0.0243952,19397.7,36300,42411.1,43069,31.3731,11.1718,0.575935,0,3.25093,657.833,0.0152739,0.415672,0.00243086,11.213,6.37319,0,0.337593,313.996,0
nominal,S1,REG-165,8108,165.001,9370.7,63.3893,0.0397191,19397.7,36300,42818.3,43152.8,31.4341,11.1935,0.577055,0,1.65226,334.506,0.00775167,0.415465,0.00300955,11.2427,7.43817,0,0.687119,314.412,0
nominal,S2,LH-520,8101,520,21922.5,85.3918,0.0887395,19105.7,36300,151622,150118,34.6981,12.3559,0.64671,1.2617,-8.85798,-1754.06,-0.0100203,0.424765,0.00189824,13.7434,38.5249,34.9196,0.0791605,313.843,184.673
nominal,S2,LH-520,8102,520,20166.5,92.8273,0.101886,19105.7,36300,155581,154474,35.705,12.7144,0.665477,3.67447,-9.26927,-1833.12,-0.00716266,0.425318,0.00262916,13.7686,26.7022,35.5095,0.0654667,314.558,204.953
nominal,S2,LH-520,8103,520,21749.7,86.0702,0.0908284,19105.7,36300,165753,164789,38.0892,13.5634,0.709913,5.06825,-9.91123,-1973.03,-0.00585046,0.422525,0.00155331,12.684,22.471,35.1467,0.0296963,313.719,198.127
nominal,S2,LH-520,8104,520,22749.8,82.2865,0.0738421,19105.7,36300,161175,160466,37.09,13.2076,0.691291,5.40185,-8.97013,-1782.33,-0.00441839,0.423321,0.000553015,12.1025,18.3468,34.0886,0.00357963,311.796,178.52
nominal,S2,LH-520,8105,520,20736.2,90.277,0.114413,19105.7,36300,178852,182206,42.1148,14.9969,0.784943,15.5859,1.21223,241.996,0.0184045,0.421341,0.000229711,12.1619,9.77238,34.9525,0.0130578,314.279,199.897
nominal,S2,LH-520,8106,520,21629,86.5505,0.0968649,19105.7,36300,150855,149165,34.4778,12.2774,0.642603,0,-8.5362,-1689.92,-0.0113292,0.424872,0.0023807,12.812,38.5763,35.1645,0.046214,314.115,188.325
nominal,S2,LH-520,8107,520,20522.9,91.2153,0.110086,19105.7,36300,168473,168117,38.8583,13.8373,0.724248,7.02456,-8.82399,-1746.56,-0.00211857,0.424952,0.00191155,13.8299,25.1921,35.2407,0.0239322,314.358,202.477
nominal,S2,LH-520,8108,520,22553.3,83.0034,0.0786356,19105.7,36300,146243,143828,33.2441,11.8381,0.619611,0,-12.1383,-2415.8,-0.0167965,0.422628,0.0019935,12.4228,29.2269,34.452,0.0051016,313.512,181.162
nominal,S2,REG-165,8101,165.001,9475.3,62.6897,0.0376554,19105.7,36300,40656.3,41313.8,30.0944,10.7165,0.560905,0,3.1839,657.503,0.0159148,0.407306,0.000430675,5.08342,5.53357,2.50394,0.0415352,311.8,194.088
nominal,S2,REG-165,8102,165,9361.9,63.4487,0.0383465,19105.7,36300,46564,46922.9,34.1804,12.1715,0.637061,0,1.73572,358.892,0.00764854,0.406794,0.00045212,5.13574,4.36322,1.81673,0.0304149,314.306,189.797
nominal,S2,REG-165,8103,165,9479,62.6649,0.0521779,19105.7,36300,45018.5,45872.3,33.4151,11.899,0.622797,0,4.14068,853.814,0.0186128,0.407913,0.000771855,4.93652,4.73948,1.8018,0.00320237,311.795,177.448
nominal,S2,REG-165,8104,165,9421.3,63.0486,0.0405141,19105.7,36300,39237.3,39970.9,29.1163,10.3682,0.542676,0,3.53373,733.642,0.0183544,0.405142,0.00083764,5.2635,5.06661,2.55996,0.107934,314.394,192.884
