t_s,v_kmh,grade_pct,P_wheel_kW,fuel_g_per_s,SOC
1808.9000,99.7853,2.1036,109.7609,4.7906,0.5811
1809.0000,99.7870,2.1061,107.2534,4.7906,0.5810
1809.1000,99.7840,2.1085,105.0675,4.7906,0.5809
1809.2000,99.7772,2.1109,103.2619,4.7906,0.5808
1809.3000,99.7673,2.1132,102.5453,4.7906,0.5807
1809.4000,99.7578,2.1155,104.0291,4.7906,0.5806
1809.5000,99.7533,2.1177,106.1559,4.7906,0.5805
1809.6000,99.7518,2.1199,107.6146,4.7906,0.5804
1809.7000,99.7527,2.1220,108.7768,4.7906,0.5803
1809.8000,99.7554,2.1240,108.8510,4.7906,0.5802
1809.9000,99.7565,2.1260,107.4912,4.7906,0.5801
1810.0000,99.7539,2.1280,106.3339,4.7906,0.5800
1810.1000,99.7505,2.1299,105.9092,4.7906,0.5800
1810.2000,99.7461,2.1317,106.0768,4.7906,0.5799
1810.3000,99.7433,2.1335,106.3399,4.7906,0.5798
1810.4000,99.7398,2.1352,105.7001,4.7906,0.5797
1810.5000,99.7345,2.1368,104.9490,4.7906,0.5796
1810.6000,99.7281,2.1384,104.0485,4.7906,0.5795
1810.7000,99.7193,2.1400,102.8267,4.7906,0.5794
1810.8000,99.7083,2.1415,101.9147,4.7906,0.5793
1810.9000,99.6960,2.1429,102.0735,4.7906,0.5793
1811.0000,99.6856,2.1443,102.8602,4.7906,0.5792
1811.1000,99.6762,2.1456,103.5594,4.7906,0.5791
1811.2000,99.6685,2.1468,104.1989,4.7906,0.5790
1811.3000,99.6615,2.1480,104.4071,4.7906,0.5789
1811.4000,99.6545,2.1491,104.4203,4.7906,0.5788
1811.5000,99.6476,2.1502,104.0736,4.7906,0.5787
1811.6000,99.6393,2.1512,103.7406,4.7906,0.5787
1811.7000,99.6311,2.1522,104.2624,4.7906,0.5786
1811.8000,99.6248,2.1531,105.9864,4.7906,0.5785
1811.9000,99.6231,2.1539,107.8896,4.7906,0.5784
1812.0000,99.6239,2.1547,109.4886,4.7906,0.5783
1812.1000,99.6283,2.1554,111.0665,4.7906,0.5782
