t_s,v_kmh,grade_pct,P_wheel_kW,fuel_g_per_s,SOC
2100.0000,92.7332,5.6425,146.2430,4.7906,0.5578
2100.1000,92.7196,5.6384,144.4699,4.7906,0.5576
2100.2000,92.7029,5.6343,142.8613,4.7906,0.5574
2100.3000,92.6832,5.6302,141.8926,4.7906,0.5572
2100.4000,92.6630,5.6261,141.1311,4.7906,0.5570
2100.5000,92.6407,5.6219,140.2521,4.7906,0.5568
2100.6000,92.6174,5.6178,139.5189,4.7906,0.5567
2100.7000,92.5926,5.6136,138.9180,4.7906,0.5565
2100.8000,92.5674,5.6094,138.1682,4.7906,0.5563
2100.9000,92.5401,5.6052,136.5520,4.7906,0.5561
2101.0000,92.5089,5.6009,134.9469,4.7906,0.5559
2101.1000,92.4756,5.5967,134.1574,4.7906,0.5558
2101.2000,92.4418,5.5924,133.9666,4.7906,0.5556
2101.3000,92.4083,5.5881,134.3987,4.7906,0.5554
2101.4000,92.3768,5.5838,135.8140,4.7906,0.5552
2101.5000,92.3498,5.5795,138.0048,4.7906,0.5551
2101.6000,92.3278,5.5751,140.3028,4.7906,0.5549
2101.7000,92.3106,5.5708,141.8290,4.7906,0.5547
2101.8000,92.2954,5.5664,142.6883,4.7906,0.5545
2101.9000,92.2822,5.5620,143.0287,4.7906,0.5543
2102.0000,92.2688,5.5576,142.0696,4.7906,0.5541
2102.1000,92.2521,5.5532,140.5645,4.7906,0.5539
2102.2000,92.2330,5.5488,139.6179,4.7906,0.5537
2102.3000,92.2129,5.5444,138.8721,4.7906,0.5535
2102.4000,92.1913,5.5399,138.2029,4.7906,0.5534
2102.5000,92.1690,5.5355,138.2643,4.7906,0.5532
2102.6000,92.1481,5.5310,138.4202,4.7906,0.5530
2102.7000,92.1269,5.5265,138.5804,4.7906,0.5528
2102.8000,92.1072,5.5220,139.8679,4.7906,0.5526
2102.9000,92.0918,5.5175,141.7930,4.7906,0.5524
2103.0000,92.0805,5.5130,143.2996,4.7906,0.5522
2103.1000,92.0717,5.5085,144.9361,4.7906,0.5520
2103.2000,92.0674,5.5040,147.4650,4.7906,0.5518
2103.3000,92.0694,5.4994,149.4306,4.7906,0.5516
2103.4000,92.0735,5.4949,150.6144,4.7906,0.5514
2103.5000,92.0805,5.4903,152.1686,4.7906,0.5512
2103.6000,92.0912,5.4858,153.4591,4.7906,0.5509
2103.7000,92.1038,5.4812,153.0186,4.7906,0.5507
2103.8000,92.1129,5.4766,151.0978,4.7906,0.5505
2103.9000,92.1177,5.4721,148.8393,4.7906,0.5503
2104.0000,92.1178,5.4675,146.8849,4.7906,0.5501
2104.1000,92.1150,5.4629,145.4132,4.7906,0.5499
2104.2000,92.1094,5.4583,144.3402,4.7906,0.5497
2104.3000,92.1025,5.4537,144.0227,4.7906,0.5495
2104.4000,92.0960,5.4491,144.7562,4.7906,0.5493
2104.5000,92.0925,5.4445,145.7842,4.7906,0.5491
2104.6000,92.0905,5.4398,146.8635,4.7906,0.5489
