t_s,v_kmh,grade_pct,P_wheel_kW,fuel_g_per_s,SOC
2400.0000,94.9500,6.0000,163.8537,9.0588,0.0899
2400.1000,94.9500,6.0000,163.8537,9.0588,0.0898
2400.2000,94.9500,6.0000,163.8537,9.0588,0.0897
2400.3000,94.9500,6.0000,163.8537,9.0588,0.0896
2400.4000,94.9500,6.0000,163.8537,9.0588,0.0895
2400.5000,94.9500,6.0000,163.8537,9.0588,0.0894
2400.6000,94.9500,6.0000,163.8537,9.0588,0.0893
2400.7000,94.9500,6.0000,163.8537,9.0588,0.0892
2400.8000,94.9500,6.0000,163.8537,9.0588,0.0891
2400.9000,94.9500,6.0000,163.8537,9.0588,0.0890
2401.0000,94.9500,6.0000,163.8537,9.0588,0.0889
2401.1000,94.9500,6.0000,163.8537,9.0588,0.0888
2401.2000,94.9500,6.0000,163.8537,9.0588,0.0887
2401.3000,94.9500,6.0000,163.8537,9.0588,0.0886
2401.4000,94.9500,6.0000,163.8537,9.0588,0.0885
2401.5000,94.9500,6.0000,163.8537,9.0588,0.0884
2401.6000,94.9500,6.0000,163.8537,9.0588,0.0883
2401.7000,94.9500,6.0000,163.8537,9.0588,0.0882
2401.8000,94.9500,6.0000,163.8537,9.0588,0.0881
2401.9000,94.9500,6.0000,163.8537,9.0588,0.0880
2402.0000,94.9500,6.0000,163.8537,9.0588,0.0879
2402.1000,94.9500,6.0000,163.8537,9.0588,0.0878
2402.2000,94.9500,6.0000,163.8537,9.0588,0.0877
2402.3000,94.9500,6.0000,163.8537,9.0588,0.0876
2402.4000,94.9500,6.0000,163.8537,9.0588,0.0875
2402.5000,94.9500,6.0000,163.8537,9.0588,0.0874
2402.6000,94.9500,6.0000,163.8537,9.0588,0.0873
2402.7000,94.9500,6.0000,163.8537,9.0588,0.0872
2402.8000,94.9500,6.0000,163.8537,9.0588,0.0871
2402.9000,94.9500,6.0000,163.8537,9.0588,0.0870
2403.0000,94.9500,6.0000,163.8537,9.0588,0.0869
2403.1000,94.9500,6.0000,163.8537,9.0588,0.0868
2403.2000,94.9500,6.0000,163.8537,9.0588,0.0867
2403.3000,94.9500,6.0000,163.8537,9.0588,0.0866
2403.4000,94.9500,6.0000,163.8537,9.0588,0.0865
