mass_case,m_kg,mu,F_drive_flat_N,F_drive_20pct_N,F_brake_N,T_wheel_drive_Nm,T_wheel_brake_Nm,T_motor_drive_Nm,T_motor_brake_Nm,launch_spec_ok_flat,launch_spec_ok_20pct
gvw,6600.0,0.8,43643.600000000006,46558.36271407516,27404.120930232562,16148.132000000001,10139.524744186048,1664.7558762886601,983.5339001860466,True,True
gvw,6600.0,0.5,24549.524999999998,26189.079026667278,18412.143750000003,9083.32425,6812.493187500001,936.4251804123712,660.8118391875001,True,True
gvw,6600.0,0.3,13809.1078125,14731.356952500344,11628.722368421053,5109.369890625,4302.6272763157895,526.7391639819588,417.35484580263153,True,True
curb,3700.0,0.8,17217.58870588235,18558.15885100851,11707.96032,6370.507821176469,4331.9453184,656.7533836264402,420.19869588480003,True,True
curb,3700.0,0.5,9888.48,10658.40204280894,7784.548085106382,3658.7376,2880.2827914893614,377.1894432989691,279.38743077446804,False,False
curb,3700.0,0.3,5628.827076923076,6067.090393598935,4878.3168000000005,2082.666018461538,1804.9772160000002,214.70783695479776,175.082789952,False,False
