# WS4-CONSTRUCTED Willans-line BSFC map - NOT measured
# engine: V3307-V1C-W  (Kubota V3307-CR-T class, 55.4 kW rated)
# displacement_l: 3.331, eta_i0: 0.435, fmep_bar(a0,a1,a2): (0.9, 0.32, 0.09), LHV_MJ_per_kg: 42.8, full_load_derate_applied: 1.0
# torque printed to 1e-4 Nm so the (torque, BSFC) pair is self-consistent for downstream interpolators (adjudication r1 F6)
rpm,torque_Nm,bsfc_g_per_kWh
974,120.6800,251.5
974,124.2000,249.9
974,127.7200,248.4
974,131.2400,247.0
974,134.7600,245.6
974,138.2800,244.4
974,141.8000,243.2
974,145.3200,242.0
974,148.8400,240.9
974,152.3600,239.9
974,155.8800,238.9
974,159.4000,237.9
974,162.9200,237.0
974,166.4400,236.1
974,169.9600,235.3
974,173.4800,234.5
974,177.0000,233.7
974,180.5200,233.2
974,184.0400,233.8
974,187.5600,234.5
974,191.0800,235.2
974,194.6000,236.0
974,198.1200,236.7
974,201.6400,237.6
974,205.1600,238.4
974,208.6800,239.3
992,1.0000,7329.7
992,4.5200,1778.4
992,8.0400,1087.6
992,11.5600,817.3
992,15.0800,673.0
992,18.6000,583.2
992,22.1200,521.8
992,25.6400,477.2
992,29.1600,443.3
992,32.6800,416.6
992,36.2000,395.0
992,39.7200,377.2
992,43.2400,362.2
992,46.7600,349.4
992,50.2800,338.4
992,53.8000,328.7
992,57.3200,320.2
992,60.8400,312.7
992,64.3600,305.9
992,67.8800,299.8
992,71.4000,294.3
992,74.9200,289.2
992,78.4400,284.6
992,81.9600,280.3
992,85.4800,276.4
992,89.0000,272.7
992,92.5200,269.3
992,96.0400,266.2
992,99.5600,263.6
992,103.0800,261.3
992,106.6000,259.1
992,110.1200,257.1
992,113.6400,255.2
992,117.1600,253.4
992,120.6800,251.7
992,124.2000,250.1
992,127.7200,248.6
992,131.2400,247.2
992,134.7600,245.8
992,138.2800,244.5
992,141.8000,243.3
992,145.3200,242.2
992,148.8400,241.1
992,152.3600,240.0
992,155.8800,239.0
992,159.4000,238.1
992,162.9200,237.1
992,166.4400,236.3
992,169.9600,235.4
992,173.4800,234.6
992,177.0000,233.8
992,180.5200,233.1
992,184.0400,232.9
992,187.5600,233.6
992,191.0800,234.3
992,194.6000,235.0
992,198.1200,235.7
992,201.6400,236.5
992,205.1600,237.3
992,208.6800,238.2
992,212.2000,239.0
1011,1.0000,7375.1
1011,4.5200,1788.4
1011,8.0400,1093.2
1011,11.5600,821.2
1011,15.0800,675.9
1011,18.6000,585.5
1011,22.1200,523.8
1011,25.6400,478.9
1011,29.1600,444.8
1011,32.6800,417.9
1011,36.2000,396.2
1011,39.7200,378.3
1011,43.2400,363.2
1011,46.7600,350.3
1011,50.2800,339.2
1011,53.8000,329.5
1011,57.3200,321.0
1011,60.8400,313.4
1011,64.3600,306.6
1011,67.8800,300.4
1011,71.4000,294.9
1011,74.9200,289.8
1011,78.4400,285.2
1011,81.9600,280.9
1011,85.4800,276.9
1011,89.0000,273.3
1011,92.5200,269.8
1011,96.0400,266.7
1011,99.5600,263.9
1011,103.0800,261.5
1011,106.6000,259.4
