row,mass_kg,t_cell_C,v_kmh,soc_init,config,duration_s,E_regen_bus_kWh,E_pack_kWh,E_heater_kWh,E_resistor_kWh,E_isg_motoring_kWh,E_friction_kWh,P_resistor_peak_kW,P_friction_mean_kW,P_friction_peak_kW,soc_end,t_cell_peak_C
"payload120/-10C/55kmh/soc0.95 (crest, buffer nearly full)/resistor_lost_with_isg_motoring",7180.0,-10.0,55.0,0.95,resistor_lost_with_isg_motoring,674.5,7.64165,0.75919,1.31222,0.00000,2.51105,3.33895,0.000,17.821,20.357,1.0000,9.58
"payload120/-10C/70kmh/soc0.55 (WS3 target)/resistor_healthy",7180.0,-10.0,70.0,0.55,resistor_healthy,534.3,6.70716,5.67851,0.17556,0.85309,0.00000,0.00008,38.878,0.001,0.257,1.0000,-0.47
"payload120/-10C/70kmh/soc0.55 (WS3 target)/resistor_lost",7180.0,-10.0,70.0,0.55,resistor_lost,534.3,6.70716,5.67851,0.17556,0.00000,0.00000,0.93177,0.000,6.278,42.460,1.0000,-1.39
"payload120/-10C/70kmh/soc0.55 (WS3 target)/resistor_lost_with_isg_motoring",7180.0,-10.0,70.0,0.55,resistor_lost_with_isg_motoring,534.3,6.70716,5.67851,0.17556,0.00000,0.33594,0.56488,0.000,3.806,25.741,1.0000,-1.17
"payload120/-10C/70kmh/soc0.95 (crest, buffer nearly full)/resistor_healthy",7180.0,-10.0,70.0,0.95,resistor_healthy,534.3,6.70716,0.90423,0.99044,4.81249,0.00000,0.00008,38.878,0.001,0.257,1.0000,9.68
"payload120/-10C/70kmh/soc0.95 (crest, buffer nearly full)/resistor_lost",7180.0,-10.0,70.0,0.95,resistor_lost,534.3,6.70716,0.90423,0.99044,0.00000,0.00000,5.25594,0.000,35.413,42.460,1.0000,5.84
"payload120/-10C/70kmh/soc0.95 (crest, buffer nearly full)/resistor_lost_with_isg_motoring",7180.0,-10.0,70.0,0.95,resistor_lost_with_isg_motoring,534.3,6.70716,0.90423,0.99044,0.00000,1.89508,3.18627,0.000,21.468,25.741,1.0000,6.80
"payload120/-10C/85kmh/soc0.55 (WS3 target)/resistor_healthy",7180.0,-10.0,85.0,0.55,resistor_healthy,443.5,5.52648,5.52648,0.00000,0.00000,0.00000,0.00006,0.000,0.000,0.212,0.9774,-3.25
"payload120/-10C/85kmh/soc0.55 (WS3 target)/resistor_lost",7180.0,-10.0,85.0,0.55,resistor_lost,443.5,5.52648,5.52648,0.00000,0.00000,0.00000,0.00006,0.000,0.000,0.212,0.9774,-3.25
"payload120/-10C/85kmh/soc0.55 (WS3 target)/resistor_lost_with_isg_motoring",7180.0,-10.0,85.0,0.55,resistor_lost_with_isg_motoring,443.5,5.52648,5.52648,0.00000,0.00000,0.00000,0.00006,0.000,0.000,0.212,0.9774,-3.25
"payload120/-10C/85kmh/soc0.95 (crest, buffer nearly full)/resistor_healthy",7180.0,-10.0,85.0,0.95,resistor_healthy,443.5,5.52648,1.03028,0.76667,3.72953,0.00000,0.00006,38.919,0.000,0.212,1.0000,7.50
"payload120/-10C/85kmh/soc0.95 (crest, buffer nearly full)/resistor_lost",7180.0,-10.0,85.0,0.95,resistor_lost,443.5,5.52648,1.03028,0.76667,0.00000,0.00000,4.09324,0.000,33.226,42.714,1.0000,4.30
"payload120/-10C/85kmh/soc0.95 (crest, buffer nearly full)/resistor_lost_with_isg_motoring",7180.0,-10.0,85.0,0.95,resistor_lost_with_isg_motoring,443.5,5.52648,1.03028,0.76667,0.00000,1.46708,2.48311,0.000,20.156,25.912,1.0000,5.09
