candidate,corner,duty,trip_time_s_median,ruler_trip_time_s_median,pct_vs_ruler_median_of_medians,paired_pct_min,paired_pct_median,paired_pct_max,r38_gate_pct,is_design_duty,gate_applied_by
S5,hot_alt_2000m_45C,LH-520,22913.1,22007.8,4.11331,3.11865,4.11287,4.92552,5,False,LEAD_APPLIES_R38
S5,nominal,GH-REG-165,11023.2,9776.05,12.7572,7.69566,11.0604,14.6802,5,True,LEAD_APPLIES_R38
S5,nominal,LH-520,22632.4,21896.4,3.36128,2.65317,3.39685,4.12645,5,False,LEAD_APPLIES_R38
S5,payload_minus20,GH-REG-165,10413.7,9669.95,7.69135,2.71248,7.18338,11.4301,5,True,LEAD_APPLIES_R38
S5,payload_minus20,LH-520,22210.5,21665,2.51766,1.99911,2.65278,3.32743,5,False,LEAD_APPLIES_R38
S5,payload_plus20,GH-REG-165,11458.8,9900.9,15.7349,9.72738,14.9618,17.1506,5,True,LEAD_APPLIES_R38
S5,payload_plus20,LH-520,23151.3,22177.8,4.38929,3.47006,4.62007,5.58285,5,False,LEAD_APPLIES_R38
S6,cold_minus10C,GH-REG-165,9821.2,9793.3,0.284889,0.118338,0.288525,0.396805,5,True,LEAD_APPLIES_R38
S6,cold_minus10C,LH-520,22043.5,21958.4,0.387551,0.107752,0.369051,0.452487,5,False,LEAD_APPLIES_R38
S6,grade_heavy,GH-REG-165,9797.85,9776.05,0.222994,0.076533,0.224046,0.370165,5,True,LEAD_APPLIES_R38
S6,grade_heavy,LH-520,22491.2,22377.7,0.507202,0.155802,0.420354,0.58334,5,False,LEAD_APPLIES_R38
S6,hot_alt_2000m_45C,GH-REG-165,9866.25,9841.15,0.255051,0.164104,0.255076,0.53026,5,True,LEAD_APPLIES_R38
S6,hot_alt_2000m_45C,LH-520,22085.8,22007.8,0.354192,0.057813,0.347763,0.374332,5,False,LEAD_APPLIES_R38
S6,nominal,GH-REG-165,9797.85,9776.05,0.222994,0.076533,0.224046,0.370165,5,True,LEAD_APPLIES_R38
S6,nominal,LH-520,21992.2,21896.4,0.437286,0.187308,0.357883,0.462083,5,False,LEAD_APPLIES_R38
S6,payload_minus20,GH-REG-165,9687.5,9669.95,0.18149,0.0807348,0.206128,0.330248,5,True,LEAD_APPLIES_R38
S6,payload_minus20,LH-520,21749.7,21665,0.390953,0.0767669,0.266754,0.45615,5,False,LEAD_APPLIES_R38
S6,payload_plus20,GH-REG-165,9931.85,9900.9,0.312598,0.172449,0.278841,0.370131,5,True,LEAD_APPLIES_R38
S6,payload_plus20,LH-520,22266.2,22177.8,0.39837,0.0978153,0.398396,0.458606,5,False,LEAD_APPLIES_R38
S7,cold_minus10C,GH-REG-165,9772.35,9793.3,-0.213922,-0.284311,-0.218982,-0.185553,5,True,LEAD_APPLIES_R38
S7,cold_minus10C,LH-520,21910.8,21958.4,-0.217001,-0.273877,-0.211151,-0.146695,5,False,LEAD_APPLIES_R38
S7,grade_heavy,GH-REG-165,9744.9,9776.05,-0.318636,-0.396598,-0.275473,-0.25247,5,True,LEAD_APPLIES_R38
S7,grade_heavy,LH-520,22280.5,22377.7,-0.434362,-0.591318,-0.460437,-0.393255,5,False,LEAD_APPLIES_R38
S7,hot_alt_2000m_45C,GH-REG-165,9806.4,9841.15,-0.353109,-0.40024,-0.28933,-0.203079,5,True,LEAD_APPLIES_R38
S7,hot_alt_2000m_45C,LH-520,21953.9,22007.8,-0.24514,-0.308498,-0.294127,-0.190696,5,False,LEAD_APPLIES_R38
S7,nominal,GH-REG-165,9744.9,9776.05,-0.318636,-0.396598,-0.275473,-0.25247,5,True,LEAD_APPLIES_R38
S7,nominal,LH-520,21833.5,21896.4,-0.287262,-0.428099,-0.287178,-0.201257,5,False,LEAD_APPLIES_R38
S7,payload_minus20,GH-REG-165,9646.4,9669.95,-0.243538,-0.31671,-0.22652,-0.116595,5,True,LEAD_APPLIES_R38
S7,payload_minus20,LH-520,21621.4,21665,-0.201246,-0.290681,-0.20125,-0.136963,5,False,LEAD_APPLIES_R38
S7,payload_plus20,GH-REG-165,9860.65,9900.9,-0.406529,-0.642628,-0.432643,-0.322449,5,True,LEAD_APPLIES_R38
S7,payload_plus20,LH-520,22072.6,22177.8,-0.474798,-0.51228,-0.423559,-0.333056,5,False,LEAD_APPLIES_R38
