corner,duty,candidate,seed,margin_vs_ruler_pct
payload_plus20,GH-REG-165,S4p,8104,15.6171
payload_plus20,GH-REG-165,S4p,8105,18.3794
payload_plus20,GH-REG-165,S4p,8106,15.1372
payload_plus20,GH-REG-165,S4p,8107,13.8469
payload_plus20,GH-REG-165,S4p,8108,14.0433
payload_plus20,LH-520,S5,8101,-2.80429
payload_plus20,LH-520,S5,8102,-3.11082
payload_plus20,LH-520,S5,8103,-2.17576
payload_plus20,LH-520,S5,8104,-1.5647
payload_plus20,LH-520,S5,8105,-4.61463
payload_plus20,LH-520,S5,8106,-3.67426
payload_plus20,LH-520,S5,8107,-3.51705
payload_plus20,LH-520,S5,8108,-1.8095
payload_plus20,LH-520,S5-13L,8101,-0.230353
payload_plus20,LH-520,S5-13L,8102,0.319393
payload_plus20,LH-520,S5-13L,8103,0.310994
payload_plus20,LH-520,S5-13L,8104,0.720951
payload_plus20,LH-520,S5-13L,8105,-0.459889
payload_plus20,LH-520,S5-13L,8106,-0.670825
payload_plus20,LH-520,S5-13L,8107,-0.999963
payload_plus20,LH-520,S5-13L,8108,0.580638
payload_plus20,LH-520,S6,8101,7.41067
payload_plus20,LH-520,S6,8102,7.39809
payload_plus20,LH-520,S6,8103,7.44635
payload_plus20,LH-520,S6,8104,7.4372
payload_plus20,LH-520,S6,8105,7.56622
payload_plus20,LH-520,S6,8106,7.44319
payload_plus20,LH-520,S6,8107,7.48379
payload_plus20,LH-520,S6,8108,7.48132
payload_plus20,LH-520,S7,8101,0.884519
payload_plus20,LH-520,S7,8102,0.206687
payload_plus20,LH-520,S7,8103,-0.295021
payload_plus20,LH-520,S7,8104,-0.013351
payload_plus20,LH-520,S7,8105,-1.13509
payload_plus20,LH-520,S7,8106,0.388056
payload_plus20,LH-520,S7,8107,-0.424013
payload_plus20,LH-520,S7,8108,0.819715
payload_plus20,LH-520,S4p,8101,-0.87542
payload_plus20,LH-520,S4p,8102,-2.5063
payload_plus20,LH-520,S4p,8103,-3.3717
payload_plus20,LH-520,S4p,8104,-3.2327
payload_plus20,LH-520,S4p,8105,-6.65924
payload_plus20,LH-520,S4p,8106,-0.802566
payload_plus20,LH-520,S4p,8107,-3.37355
payload_plus20,LH-520,S4p,8108,-0.545579
payload_minus20,GH-REG-165,S5,8101,4.94616
payload_minus20,GH-REG-165,S5,8102,5.66989
payload_minus20,GH-REG-165,S5,8103,2.68339
payload_minus20,GH-REG-165,S5,8104,3.93885
payload_minus20,GH-REG-165,S5,8105,5.69005
payload_minus20,GH-REG-165,S5,8106,5.48965
payload_minus20,GH-REG-165,S5,8107,4.16859
payload_minus20,GH-REG-165,S5,8108,3.75154
payload_minus20,GH-REG-165,S5-13L,8101,7.2973
payload_minus20,GH-REG-165,S5-13L,8102,6.11542
payload_minus20,GH-REG-165,S5-13L,8103,5.81118
payload_minus20,GH-REG-165,S5-13L,8104,6.50088
payload_minus20,GH-REG-165,S5-13L,8105,7.7625
payload_minus20,GH-REG-165,S5-13L,8106,9.83097
payload_minus20,GH-REG-165,S5-13L,8107,5.69439
