corner,candidate,duty,seed,distance_km,duration_s,avg_speed_kmh,power_limited_frac,payload_kg,gcw_kg,fuel_g_raw,fuel_g_corrected,fuel_L_per_100km,grid_kWh,MJ_primary_per_payload_tkm,MJ_tank_per_payload_tkm,g_CO2_per_payload_tkm,unserved_kWh,charge_deficit_kWh,correction_share,correction_eta
nominal,S5,LH-520,8105,520,21913.5,85.4268,0.305705,19970,36300,194445,197474,45.6439,0,0.968541,0.8139,71.7725,10.3248,2.83692,0.0153377,0.365512
nominal,S5,LH-520,8106,520,22504.7,83.1827,0.208884,19970,36300,164600,164348,37.9872,0,0.806068,0.677368,59.7326,2.05366,-3.15984,-0.00153196,0.369552
nominal,S5,LH-520,8107,520,21696.1,86.2828,0.301721,19970,36300,182666,183767,42.4758,0,0.901314,0.757407,66.7907,4.97604,-0.213209,0.00599018,0.363928
nominal,S5,LH-520,8108,520,23351.9,80.1648,0.183282,19970,36300,157305,157061,36.3029,0,0.770329,0.647335,57.0842,2.28507,-3.37441,-0.00155519,0.375122
nominal,S5-13L,GH-REG-165,8101,165.001,10382.2,57.2136,0.231076,19706.3,36300,49969.3,54213.6,39.491,0,0.849194,0.713609,62.9284,23.5865,-4.47946,0.0782887,0.378656
nominal,S5-13L,GH-REG-165,8102,165,10357.2,57.3515,0.265533,19706.3,36300,54601.4,60576.4,44.1261,0,0.948864,0.797364,70.3143,30.1988,-3.34704,0.0986359,0.378001
nominal,S5-13L,GH-REG-165,8103,165.001,10722.9,55.3956,0.257577,19706.3,36300,49658.5,58927.8,42.9251,0,0.923039,0.775663,68.4006,44.8382,-4.24937,0.1573,0.368313
nominal,S5-13L,GH-REG-165,8104,165,10467.4,56.7477,0.234354,19706.3,36300,47388.5,54471.3,39.6789,0,0.853234,0.717003,63.2278,35.4932,-3.98597,0.130028,0.374167
nominal,S5-13L,GH-REG-165,8105,165.001,10136.8,58.5986,0.239067,19706.3,36300,49008.4,53624.5,39.062,0,0.839968,0.705855,62.2447,25.4966,-4.75278,0.0860823,0.377981
nominal,S5-13L,GH-REG-165,8106,165,10595,56.0642,0.23508,19706.3,36300,52542.4,56365.4,41.0587,0,0.882904,0.741936,65.4264,21.8395,-4.56992,0.0678246,0.379963
nominal,S5-13L,GH-REG-165,8107,165,9895.3,60.0287,0.217111,19706.3,36300,52963.9,54624.6,39.7905,0,0.855634,0.71902,63.4056,9.41146,-1.87692,0.0304017,0.381618
nominal,S5-13L,GH-REG-165,8108,165,10047.2,59.1211,0.20929,19706.3,36300,50049.5,54035.7,39.3616,0,0.84641,0.711269,62.7221,22.1454,-4.09119,0.0737696,0.380959
nominal,S5-13L,LH-520,8101,520,22099.7,84.7071,0.131798,19706.3,36300,159627,158535,36.6435,0,0.787962,0.662153,58.3909,0.00328508,-5.07102,-0.00688901,0.390294
nominal,S5-13L,LH-520,8102,520,20340.1,92.035,0.160859,19706.3,36300,162662,161499,37.3286,0,0.802695,0.674533,59.4826,0.00351158,-5.37696,-0.00720551,0.388399
nominal,S5-13L,LH-520,8103,520,21953.2,85.2724,0.152141,19706.3,36300,172840,171920,39.7374,0,0.854493,0.718061,63.321,0.00427767,-4.31108,-0.00534929,0.393904
nominal,S5-13L,LH-520,8104,520,22894.9,81.765,0.129718,19706.3,36300,167149,166260,38.4291,0,0.82636,0.69442,61.2363,0.00457103,-4.17443,-0.00534462,0.394708
nominal,S5-13L,LH-520,8105,520,20981.8,89.2202,0.170356,19706.3,36300,186560,186824,43.1823,0,0.928568,0.780309,68.8103,2.74196,-1.50708,0.00141155,0.393875
nominal,S5-13L,LH-520,8106,520,21789.2,85.9142,0.129504,19706.3,36300,158607,157487,36.4013,0,0.782754,0.657776,58.0049,0.00312689,-5.20033,-0.00711572,0.390091
nominal,S5-13L,LH-520,8107,520,20778.5,90.0932,0.168558,19706.3,36300,176473,175472,40.5583,0,0.872144,0.732894,64.6291,0.00232831,-4.62608,-0.0057082,0.388282
nominal,S5-13L,LH-520,8108,520,22672.2,82.5681,0.110637,19706.3,36300,153043,151955,35.1228,0,0.755261,0.634673,55.9676,0.00342778,-5.07629,-0.0071594,0.392211
nominal,S6,GH-REG-165,8101,165.001,9965.4,59.6065,0.172907,20655,36300,56625.7,56643.6,41.2612,0,0.846507,0.711351,62.7293,0.0879906,-0,0.000316669,0.412609
nominal,S6,GH-REG-165,8102,165,9788.5,60.6835,0.192969,20655,36300,63148,63165.5,46.0121,0,0.943977,0.793258,69.9521,0.0858133,-0,0.000275883,0.414199
nominal,S6,GH-REG-165,8103,165,9968.6,59.5873,0.182391,20655,36300,60178.4,60196.4,43.8493,0,0.899603,0.755969,66.6639,0.0887724,-0,0.000299882,0.413634
nominal,S6,GH-REG-165,8104,165.001,9807.2,60.5683,0.166111,20655,36300,56771.5,56789.8,41.3675,0,0.848689,0.713184,62.891,0.0899901,-0,0.000322157,0.413729
nominal,S6,GH-REG-165,8105,165,9714.4,61.1464,0.1818,20655,36300,55725.9,55742.6,40.605,0,0.833045,0.700038,61.7317,0.0818966,-0,0.000299746,0.412272
nominal,S6,GH-REG-165,8106,165.001,10083.6,58.9078,0.177851,20655,36300,60076.4,60094.2,43.7746,0,0.898073,0.754683,66.5505,0.0871315,-0,0.000294655,0.413892
nominal,S6,GH-REG-165,8107,165.001,9638,61.6314,0.172389,20655,36300,57031.4,57049.1,41.5565,0,0.852565,0.716441,63.1782,0.086936,-0,0.000310645,0.412616
nominal,S6,GH-REG-165,8108,165.001,9711.4,61.1654,0.161365,20655,36300,55712,55729.4,40.5953,0,0.832846,0.699871,61.717,0.0856902,-0,0.000313141,0.413015
nominal,S6,LH-520,8101,520,22160.7,84.4739,0.138185,20655,36300,152861,152865,35.3329,0,0.724884,0.609146,53.7166,0.0169632,-0,2.2186e-05,0.420709
nominal,S6,LH-520,8102,520,20485.9,91.38,0.182339,20655,36300,155677,155680,35.9838,0,0.738237,0.620367,54.7061,0.0172586,-0,2.22932e-05,0.418273
nominal,S6,LH-520,8103,520,22089,84.7481,0.159585,20655,36300,166152,166156,38.405,0,0.787911,0.66211,58.3871,0.0189267,-0,2.26982e-05,0.422111
nominal,S6,LH-520,8104,520,22981.7,81.4562,0.130286,20655,36300,161398,161402,37.3063,0,0.765369,0.643167,56.7166,0.0181588,-0,2.24473e-05,0.421573
nominal,S6,LH-520,8105,520,21123.4,88.6222,0.190892,20655,36300,178547,178551,41.27,0,0.846687,0.711502,62.7426,0.0187345,-0,2.08679e-05,0.422923
nominal,S6,LH-520,8106,520,21895.3,85.4979,0.133686,20655,36300,151920,151924,35.1155,0,0.720423,0.605397,53.386,0.01688,-0,2.22707e-05,0.419635
nominal,S6,LH-520,8107,520,20910.4,89.5249,0.194381,20655,36300,168087,168090,38.8522,0,0.797085,0.669819,59.0669,0.0182226,-0,2.17038e-05,0.420137
nominal,S6,LH-520,8108,520,22790.5,82.1395,0.118575,20655,36300,147377,147381,34.0655,0,0.698881,0.587295,51.7896,0.0188034,-0,2.55948e-05,0.419277
nominal,S7,GH-REG-165,8101,165.001,9913.7,59.9174,0.163439,19845.5,36300,53276.8,54510.6,39.7074,0,0.847858,0.712485,62.8294,2.65854,2.91524,0.0226331,0.380001
nominal,S7,GH-REG-165,8102,165,9716.2,61.135,0.180244,19845.5,36300,61274.3,62730.6,45.6954,0,0.975717,0.81993,72.3042,3.35188,3.24829,0.0232158,0.381198
nominal,S7,GH-REG-165,8103,165,9895.1,60.0298,0.174084,19845.5,36300,58041.6,59529.3,43.3633,0,0.925922,0.778086,68.6142,3.48743,3.2331,0.0249919,0.379954
